,ISIN,Identifier,Issuer,Maturity,Seniority,Currency,Coupon,Frequency
3703,US912828Q376,us912828q376-america-united-states-of-1-25-16-21,"America, United States of...",2021-03-31,,USD,1.25,semiannual
3704,US912828S927,us912828s927-america-united-states-of-1-25-16-23,"America, United States of...",2023-07-31,,USD,1.25,semiannual
3705,US912828SA95,us912828sa95-america-united-states-of-0-142-12-22,"America, United States of...",2022-01-15,,USD,0.1416,semiannual
3706,US912828YS30,us912828ys30-america-united-states-of-1-75-19-29,"America, United States of...",2029-11-15,,USD,1.75,semiannual
3707,US912828YT13,us912828yt13-america-united-states-of-1-5-19-21,"America, United States of...",2021-11-30,,USD,1.5,semiannual
3708,US912828Z377,us912828z377-america-united-states-of-0-000-20-30,"America, United States of...",2030-01-15,,USD,,semiannual
3709,US912828Z526,us912828z526-america-united-states-of-1-375-20-25,"America, United States of...",2025-01-31,,USD,1.375,semiannual
3710,US913017CJ69,us913017cj69-raytheon-technologies-corp-3-75-16-46,Raytheon Technologies Corp.,2046-11-01,,USD,3.75,semiannual
3711,US91324PDE97,us91324pde97-unitedhealth-group-inc-2-95-17-27,UnitedHealth Group Inc.,2027-10-15,,USD,2.95,semiannual
3712,US91324PDF62,us91324pdf62-unitedhealth-group-inc-3-75-17-47,UnitedHealth Group Inc.,2047-10-15,,USD,3.75,semiannual
3713,US91324PDG46,us91324pdg46-unitedhealth-group-inc-0-573-18-21,UnitedHealth Group Inc.,2021-06-15,,USD,0.5734,quarterly
3714,US922646BL74,us922646bl74-venezuela-bolivarische-republik-9-375-04-34,"Venezuela, Bolivarische Republik",2034-01-13,,USD,9.375,semiannual
3715,US92343VEA89,us92343vea89-verizon-communications-inc-4-5-17-33,Verizon Communications Inc.,2033-08-10,,USD,4.5,semiannual
3716,US92857WAB63,us92857wab63-vodafone-group-plc-6-25-02-32,Vodafone Group PLC,2032-11-30,,USD,6.25,semiannual
3717,US94974BGN47,us94974bgn47-wells-fargo-co-1-978-15-20,Wells Fargo & Co.,2020-07-22,,USD,1.9776,quarterly
3718,US958254AK08,us958254ak08-western-midstream-operating-l-p-4-75-18-28,Western Midstream Operating L.P.,2028-08-15,,USD,4.75,semiannual
3719,US959802AY56,us959802ay56-western-union-co-2-85-19-25,Western Union Co.,2025-01-10,,USD,2.85,semiannual
3720,US960402AS49,us960402as49-viacomcbs-inc-7-875-93-23,ViacomCBS Inc.,2023-09-01,,USD,7.875,semiannual
3721,US969457BB59,us969457bb59-the-williams-companies-inc-7-5-01-31,The Williams Companies Inc.,2031-01-15,,USD,7.5,semiannual
3722,US98420EAD76,us98420ead76-xlit-ltd-5-5-15-45,XLIT Ltd.,2045-03-31,True,USD,5.5,semiannual
3723,USC71968AB41,usc71968ab41-parkland-corp-5-875-19-27,Parkland Corp.,2027-07-15,,USD,5.875,semiannual
3724,USC7976PAB25,usc7976pab25-royal-bank-of-canada-1-9-19-22,Royal Bank of Canada,2022-09-23,,USD,1.9,semiannual
3725,USF8586CBQ45,usf8586cbq45-societe-generale-s-a-6-75,Société Générale S.A.,,True,USD,6.75,semiannual
3726,USG3980PAA33,usg3980paa33-gol-finance-8-75,Gol Finance,,,USD,8.75,quarterly
3727,USG81877AD72,usg81877ad72-sinopec-capital-2013-ltd-4-25-13-43,Sinopec Capital [2013] Ltd.,2043-04-24,,USD,4.25,semiannual
3728,USG82016AF62,usg82016af62-sinopec-group-overseas-development-2018-ltd-2-5-19-24,Sinopec Group Overseas Development [2018] Ltd.,2024-08-08,,USD,2.5,semiannual
3729,USJ09748AB01,usj09748ab01-dai-ichi-life-holdings-inc-7-25,Dai-Ichi Life Holdings Inc.,,True,USD,7.25,semiannual
3730,USJ46186AX06,usj46186ax06-mizuho-bank-ltd-3-6-14-24,Mizuho Bank Ltd.,2024-09-25,,USD,3.6,semiannual
3731,USL5137XAT65,usl5137xat65-intelsat-jackson-holdings-s-a-8-5-18-24,Intelsat Jackson Holdings S.A.,2024-10-15,,USD,8.5,semiannual
3732,USN0280EAS48,usn0280eas48-airbus-se-3-95-17-47,Airbus SE,2047-04-10,,USD,3.95,semiannual
3733,USN45780CZ97,usn45780cz97-ing-bank-n-v-2-05-16-21,ING Bank N.V.,2021-08-15,,USD,2.05,semiannual
3734,USN82008AF50,usn82008af50-siemens-financieringsmaatschappij-n-v-4-4-15-45,Siemens Financieringsmaatschappij N.V.,2045-05-27,,USD,4.4,semiannual
3735,USP1905CAA82,usp1905caa82-brf-s-a-5-875-12-22,BRF S.A.,2022-06-06,,USD,5.875,semiannual
3736,USP2400PAA77,usp2400paa77-kallpa-generacion-s-a-4-125-17-27,Kallpa Generación S.A.,2027-08-16,,USD,4.125,semiannual
3737,USP37878AB43,usp37878ab43-bolivien-republik-5-95-13-23,"Bolivien, Republik",2023-08-22,,USD,5.95,semiannual
3738,USP6811TAA36,usp6811taa36-minsur-s-a-6-25-14-24,Minsur S.A.,2024-02-07,,USD,6.25,semiannual
3739,USP7807HAR68,usp7807har68-petroleos-de-venezuela-s-a-6-13-26,Petróleos de Venezuela S.A.,2026-11-15,,USD,6.0,semiannual
3740,USP9308RAZ66,usp9308raz66-transportadora-de-gas-del-sur-s-a-6-75-18-25,Transportadora de Gas del Sur S.A.,2025-05-02,,USD,6.75,semiannual
3741,USU1109MAL01,usu1109mal01-broadcom-inc-4-3-20-32,Broadcom Inc.,2032-11-15,,USD,4.3,semiannual
3742,USU1579LAB54,usu1579lab54-cf-industries-inc-4-5-16-26,CF Industries Inc.,2026-12-01,,USD,4.5,semiannual
3743,USU2339CDS45,usu2339cds45-daimler-finance-north-america-llc-1-292-19-22,Daimler Finance North America LLC,2022-02-15,,USD,1.2924,quarterly
3744,USU24044AB24,usu24044ab24-dean-foods-co-6-5-15-23,Dean Foods Co.,2023-03-15,,USD,6.5,semiannual
3745,USU3827BAA53,usu3827baa53-goodman-us-finance-three-llc-3-7-17-28,Goodman US Finance Three LLC,2028-03-15,,USD,3.7,semiannual
3746,USU45049AF79,usu45049af79-iqvia-inc-5-16-26,IQVIA Inc.,2026-10-15,,USD,5.0,semiannual
3747,USU5763PAC15,usu5763pac15-match-group-inc-5-625-19-29,Match Group Inc.,2029-02-15,,USD,5.625,semiannual
3748,USU88868AF85,usu88868af85-t-mobile-usa-inc-3-875-20-30,T-Mobile USA Inc.,2030-04-15,,USD,3.875,semiannual
3749,USU88868AG68,usu88868ag68-t-mobile-usa-inc-1-5-20-26,T-Mobile USA Inc.,2026-02-15,,USD,1.5,semiannual
3750,USU90402AF27,usu90402af27-usg-corp-5-5-15-25,USG Corp.,2025-03-01,,USD,5.5,semiannual
3751,USY20721BP35,usy20721bp35-indonesien-republik-5-95-15-46,"Indonesien, Republik",2046-01-08,,USD,5.95,semiannual
3752,USY3815NAZ43,usy3815naz43-hyundai-capital-services-inc-3-625-17-27,Hyundai Capital Services Inc.,2027-08-29,,USD,3.625,semiannual
3753,XS0078528352,xs0078528352-eskom-holdings-soc-limited-0-000-97-27,ESKOM Holdings SOC Limited,2027-08-18,,ZAR,,no payments
3754,XS0091457027,xs0091457027-european-investment-bank-eib-5-375-98-21,European Investment Bank (EIB),2021-06-07,,GBP,5.375,yearly
3755,XS0126293207,xs0126293207-european-bank-for-reconstruction-and-development-5-125-01-32,European Bank for Reconstruction and Development,2032-06-07,,GBP,5.125,yearly
3756,XS0134886067,xs0134886067-barclays-bank-plc-5-75-01-26,Barclays Bank PLC,2026-09-14,True,GBP,5.75,yearly
3757,XS0139445471,xs0139445471-telereal-securitisation-plc-5-553-01-33,Telereal Securitisation PLC,2033-12-10,False,GBP,5.5534,quarterly
3758,XS0150670551,xs0150670551-lcr-finance-plc-5-1-02-51,LCR Finance PLC,2051-03-07,,GBP,5.1,semiannual
3759,XS0179060974,xs0179060974-axa-s-a-0-58,AXA S.A.,,True,EUR,0.58,quarterly
3760,XS0202197694,xs0202197694-banco-santander-s-a-0-143,Banco Santander S.A.,,True,EUR,0.14300000000000002,semiannual
3761,XS0210467873,xs0210467873-network-rail-infrastructure-finance-plc-4-75-05-24,Network Rail Infrastructure Finance PLC,2024-01-22,,GBP,4.75,yearly
3762,XS0216072230,xs0216072230-fuerstenberg-capital-erste-gmbh-1-301,Fürstenberg Capital Erste GmbH,,True,EUR,1.301,yearly
3763,XS0224366608,xs0224366608-oesterreich-republik-0-412-05-25,"Österreich, Republik",2025-08-04,,EUR,0.41200000000000003,semiannual
3764,XS0276103156,xs0276103156-hutchison-whampoa-finance-uk-plc-5-625-06-26,Hutchison Whampoa Finance [UK] PLC,2026-11-24,,GBP,5.625,yearly
3765,XS0357124618,xs0357124618-the-goldman-sachs-group-inc-7-25-08-28,The Goldman Sachs Group Inc.,2028-04-10,,GBP,7.25,semiannual
3766,XS0399111912,xs0399111912-sse-plc-8-375-08-28,SSE PLC,2028-11-20,,GBP,8.375,yearly
3767,XS0418669429,xs0418669429-total-capital-s-a-5-125-09-24,Total Capital S.A.,2024-03-26,,EUR,5.125,yearly
3768,XS0422704071,xs0422704071-lloyds-bank-plc-7-5-09-24,Lloyds Bank PLC,2024-04-15,,GBP,7.5,semiannual
3769,XS0424794971,xs0424794971-evander-rated-ltd-1-55-09-30,Evander Rated Ltd.,2030-06-30,,EUR,1.55,monthly
3770,XS0452187916,xs0452187916-enel-finance-international-n-v-5-09-22,ENEL Finance International N.V.,2022-09-14,,EUR,5.0,yearly
3771,XS0453133950,xs0453133950-walmart-inc-4-875-09-29,Walmart Inc.,2029-09-21,,EUR,4.875,yearly
3772,XS0541920707,xs0541920707-ubs-ag-london-branch-3-5-10-20,UBS AG [London Branch],2020-09-15,,EUR,3.5,yearly
3773,XS0550437288,xs0550437288-fil-ltd-6-75-10-20,FIL Ltd.,2020-10-19,,GBP,6.75,yearly
3774,XS0592238876,xs0592238876-bank-of-india-london-branch-6-25-11-21,Bank of India [London Branch],2021-02-16,,USD,6.25,semiannual
3775,XS0608392550,xs0608392550-muenchener-rueckversicherungs-gesellschaft-ag-in-muenchen-6-11-41,Münchener Rückversicherungs-Gesellschaft AG in München,2041-05-26,True,EUR,6.0,yearly
3776,XS0640463062,xs0640463062-danske-mortgage-bank-plc-3-875-11-21,Danske Mortgage Bank PLC,2021-06-21,,EUR,3.875,yearly
3777,XS0789683462,xs0789683462-bae-systems-plc-4-125-12-22,BAE Systems PLC,2022-06-08,,GBP,4.125,yearly
3778,XS0804217536,xs0804217536-n-v-nederlandse-gasunie-2-625-12-22,N.V. Nederlandse Gasunie,2022-07-13,,EUR,2.625,yearly
3779,XS0831571434,xs0831571434-eurasian-development-bank-4-767-12-22,Eurasian Development Bank,2022-09-20,,USD,4.7669999999999995,semiannual
3780,XS0855167523,xs0855167523-lanxess-ag-2-625-12-22,LANXESS AG,2022-11-21,,EUR,2.625,yearly
3781,XS0863484035,xs0863484035-heta-asset-resolution-ag-2-375-12-22,Heta Asset Resolution AG,2022-12-13,True,EUR,2.375,yearly
3782,XS0866310088,xs0866310088-at-t-inc-3-55-12-32,AT & T Inc.,2032-12-17,,EUR,3.55,yearly
3783,XS0875343757,xs0875343757-naturgy-finance-b-v-3-875-13-23,Naturgy Finance B.V.,2023-01-17,,EUR,3.875,yearly
3784,XS0880134258,xs0880134258-ooredoo-international-finance-ltd-3-875-13-28,Ooredoo International Finance Ltd.,2028-01-31,,USD,3.875,semiannual
3785,XS0933540527,xs0933540527-cooeperatieve-rabobank-u-a-2-375-13-23,Coöperatieve Rabobank U.A.,2023-05-22,,EUR,2.375,yearly
3786,XS0935427970,xs0935427970-jpmorgan-chase-co-2-875-13-28,JPMorgan Chase & Co.,2028-05-24,,EUR,2.875,yearly
3787,XS0944838241,xs0944838241-rolls-royce-plc-2-125-13-21,Rolls-Royce PLC,2021-06-18,,EUR,2.125,yearly
3788,XS0974122516,xs0974122516-australia-pacific-airports-melbourne-pty-ltd-3-125-13-23,Australia Pacific Airports [Melbourne] Pty Ltd.,2023-09-26,,EUR,3.125,yearly
3789,XS0984367077,xs0984367077-jpmorgan-chase-co-2-625-13-21,JPMorgan Chase & Co.,2021-04-23,,EUR,2.625,yearly
3790,XS0997355036,xs0997355036-raiffeisenlandesbank-niederoesterreich-wien-ag-5-875-13-23,Raiffeisenlandesbank Niederösterreich-Wien AG,2023-11-27,True,EUR,5.875,yearly
3791,XS1014864190,xs1014864190-dnb-boligkreditt-a-s-3-14-34,DNB Boligkreditt A.S.,2034-01-16,,EUR,3.0,yearly
3792,XS1039826422,xs1039826422-sncf-reseau-s-a-2-625-14-25,SNCF Réseau S.A.,2025-12-29,,EUR,2.625,yearly
3793,XS1040508597,xs1040508597-imperial-brands-finance-plc-4-875-14-32,Imperial Brands Finance PLC,2032-06-07,,GBP,4.875,yearly
3794,XS1048519596,xs1048519596-rci-banque-s-a-2-25-14-21,RCI Banque S.A.,2021-03-29,,EUR,2.25,yearly
3795,XS1048568452,xs1048568452-fiat-chrysler-finance-europe-s-a-4-75-14-21,Fiat Chrysler Finance Europe S.A.,2021-03-22,,EUR,4.75,yearly
3796,XS1050461034,xs1050461034-telefonica-europe-b-v-5-875,Telefónica Europe B.V.,,True,EUR,5.875,yearly
3797,XS1052843908,xs1052843908-enagas-financiaciones-s-a-u-2-5-14-22,Enagás Financiaciones S.A.U.,2022-04-11,,EUR,2.5,yearly
3798,XS1053939978,xs1053939978-novo-banco-s-a-0-000-14-48,Novo Banco S.A.,2048-04-03,,EUR,,no payments
3799,XS1055536251,xs1055536251-sparebank-1-sr-bank-asa-2-125-14-21,Sparebank 1 SR-Bank ASA,2021-04-14,,EUR,2.125,yearly
3800,XS1057530393,xs1057530393-manchester-airport-group-funding-plc-4-125-14-24,Manchester Airport Group Funding PLC,2024-04-02,,GBP,4.125,semiannual
3801,XS1063399536,xs1063399536-lettland-republik-2-875-14-24,"Lettland, Republik",2024-04-30,,EUR,2.875,yearly
3802,XS1069439740,xs1069439740-axa-s-a-3-875,AXA S.A.,,True,EUR,3.875,yearly
3803,XS1084958989,xs1084958989-ongc-videsh-ltd-2-75-14-21,ONGC Videsh Ltd.,2021-07-15,,EUR,2.75,yearly
3804,XS1089413089,xs1089413089-cote-d-ivoire-republik-5-375-14-24,"Côte d'Ivoire, Republik",2024-07-23,,USD,5.375,semiannual
3805,XS1107304625,xs1107304625-new-world-resources-n-v-4-14-20,New World Resources N.V.,2020-10-07,,EUR,4.0,yearly
3806,XS1107500057,xs1107500057-cooeperatieve-rabobank-u-a-8-25-14-20,Coöperatieve Rabobank U.A.,2020-09-11,,ZAR,8.25,yearly
3807,XS1111123987,xs1111123987-hsbc-holdings-plc-5-25,HSBC Holdings PLC,,True,EUR,5.25,semiannual
3808,XS1116480697,xs1116480697-barclays-plc-1-5-14-22,Barclays PLC,2022-04-01,,EUR,1.5,yearly
3809,XS1117299484,xs1117299484-air-products-chemicals-inc-1-15-25,Air Products & Chemicals Inc.,2025-02-12,,EUR,1.0,yearly
3810,XS1132790442,xs1132790442-nordea-mortgage-bank-plc-1-14-24,Nordea Mortgage Bank PLC,2024-11-05,,EUR,1.0,yearly
3811,XS1144086110,xs1144086110-at-t-inc-1-45-14-22,AT & T Inc.,2022-06-01,,EUR,1.45,yearly
3812,XS1146282634,xs1146282634-verizon-communications-inc-1-625-14-24,Verizon Communications Inc.,2024-03-01,,EUR,1.625,yearly
3813,XS1172947902,xs1172947902-petroleos-mexicanos-1-875-15-22,Petróleos Mexicanos,2022-04-21,,EUR,1.875,yearly
3814,XS1196517434,xs1196517434-cote-d-ivoire-republik-6-375-15-28,"Côte d'Ivoire, Republik",2028-03-03,,USD,6.375,semiannual
3815,XS1198102052,xs1198102052-vereinigte-mexikanische-staaten-1-625-15-24,Vereinigte Mexikanische Staaten,2024-03-06,,EUR,1.625,yearly
3816,XS1199964575,xs1199964575-ryanair-dac-1-125-15-23,Ryanair DAC,2023-03-10,,EUR,1.125,yearly
3817,XS1215290922,xs1215290922-dvb-bank-se-0-875-15-21,DVB Bank SE,2021-04-09,,EUR,0.875,yearly
3818,XS1223283091,xs1223283091-anglian-water-osprey-financing-plc-5-15-23,Anglian Water [Osprey] Financing PLC,2023-04-30,,GBP,5.0,semiannual
3819,XS1224955408,xs1224955408-bhp-billiton-finance-ltd-1-5-15-30,BHP Billiton Finance Ltd.,2030-04-29,,EUR,1.5,yearly
3820,XS1225626974,xs1225626974-nationwide-building-society-2-25-15-22,Nationwide Building Society,2022-04-29,,GBP,2.25,yearly
3821,XS1227242630,xs1227242630-investec-plc-4-5-15-22,Investec PLC,2022-05-05,,GBP,4.5,yearly
3822,XS1228153661,xs1228153661-pearson-funding-plc-1-375-15-25,Pearson Funding PLC,2025-05-06,,EUR,1.375,yearly
3823,XS1234197074,xs1234197074-capitaland-ltd-2-8-15-25,Capitaland Ltd.,2025-06-08,,SGD,2.8,semiannual
3824,XS1238805102,xs1238805102-international-bank-for-reconstruction-and-development-0-000-15-35,International Bank for Reconstruction and Development,2035-05-29,,ZAR,,no payments
3825,XS1239586594,xs1239586594-esb-finance-dac-2-125-15-27,ESB Finance DAC,2027-06-08,,EUR,2.125,yearly
3826,XS1240315322,xs1240315322-bnp-paribas-s-a-1-375-15-25,BNP Paribas S.A.,2025-06-02,,EUR,1.375,yearly
3827,XS1303925470,xs1303925470-ukraine-republik-7-75-15-25,"Ukraine, Republik",2025-09-01,,USD,7.75,semiannual
3828,XS1310493744,xs1310493744-jpmorgan-chase-co-1-5-15-22,JPMorgan Chase & Co.,2022-10-26,,EUR,1.5,yearly
3829,XS1321004118,xs1321004118-iberdrola-international-b-v-0-000-15-22,Iberdrola International B.V.,2022-11-11,,EUR,,semiannual
3830,XS1323897485,xs1323897485-solvay-finance-s-a-5-118,Solvay Finance S.A.,,True,EUR,5.118,yearly
3831,XS1330975977,xs1330975977-mfb-magyar-fejlesztesi-bank-zrt-2-375-15-21,MFB Magyar Fejlesztesi Bank Zrt.,2021-12-08,,EUR,2.375,yearly
3832,XS1383389670,xs1383389670-scentre-management-ltd-re1-ltd-1-375-16-23,Scentre Management Ltd./RE1 Ltd.,2023-03-22,,EUR,1.375,yearly
3833,XS1385395121,xs1385395121-edp-finance-b-v-2-375-16-23,EDP Finance B.V.,2023-03-23,,EUR,2.375,yearly
3834,XS1391625289,xs1391625289-akzo-nobel-n-v-1-125-16-26,Akzo Nobel N.V.,2026-04-08,,EUR,1.125,yearly
3835,XS1394760182,xs1394760182-japan-tobacco-inc-2-16-21,Japan Tobacco Inc.,2021-04-13,,USD,2.0,semiannual
3836,XS1402194952,xs1402194952-malayan-banking-berhad-3-905-16-26,Malayan Banking Berhad,2026-10-29,True,USD,3.905,semiannual
3837,XS1402941790,xs1402941790-abb-finance-b-v-0-625-16-23,ABB Finance B.V.,2023-05-03,,EUR,0.625,yearly
3838,XS1403388694,xs1403388694-enagas-financiaciones-s-a-u-1-375-16-28,Enagás Financiaciones S.A.U.,2028-05-05,,EUR,1.375,yearly
3839,XS1405781854,xs1405781854-katar-staat-4-625-16-46,"Katar, Staat",2046-06-02,,USD,4.625,semiannual
3840,XS1405888576,xs1405888576-black-sea-trade-and-development-bank-4-875-16-21,Black Sea Trade and Development Bank,2021-05-06,,USD,4.875,semiannual
3841,XS1408317433,xs1408317433-orange-s-a-1-16-25,Orange S.A.,2025-05-12,,EUR,1.0,yearly
3842,XS1418788599,xs1418788599-aurizon-network-pty-ltd-3-125-16-26,Aurizon Network Pty Ltd.,2026-06-01,,EUR,3.125,yearly
3843,XS1431730388,xs1431730388-nordic-investment-bank-0-125-16-24,Nordic Investment Bank,2024-06-10,,EUR,0.125,yearly
3844,XS1485532896,xs1485532896-koninklijke-kpn-n-v-0-625-16-25,Koninklijke KPN N.V.,2025-04-09,,EUR,0.625,yearly
3845,XS1485603747,xs1485603747-aptiv-plc-1-6-16-28,Aptiv PLC,2028-09-15,,EUR,1.6,yearly
3846,XS1489814340,xs1489814340-axa-s-a-4-5,AXA S.A.,,True,USD,4.5,semiannual
3847,XS1492691008,xs1492691008-celanese-us-holdings-llc-1-125-16-23,Celanese US Holdings LLC,2023-09-26,,EUR,1.125,yearly
3848,XS1496760239,xs1496760239-china-cinda-asset-management-co-ltd-4-45,China Cinda Asset Management Co. Ltd.,,True,USD,4.45,yearly
3849,XS1502174581,xs1502174581-gatwick-funding-ltd-2-625-16-48,Gatwick Funding Ltd.,2048-10-07,False,GBP,2.625,yearly
3850,XS1502438820,xs1502438820-cooeperatieve-rabobank-u-a-0-125-16-21,Coöperatieve Rabobank U.A.,2021-10-11,,EUR,0.125,yearly
3851,XS1508586150,xs1508586150-selp-finance-s-a-r-l-1-25-16-23,SELP Finance S.a.r.l.,2023-10-25,,EUR,1.25,yearly
3852,XS1512677003,xs1512677003-banque-federative-du-credit-mutuel-s-a-bfcm-1-875-16-26,Banque Fédérative du Crédit Mutuel S.A. [BFCM],2026-11-04,True,EUR,1.875,yearly
3853,XS1513739760,xs1513739760-equate-petrochemical-b-v-4-25-16-26,Equate Petrochemical B.V.,2026-11-03,,USD,4.25,semiannual
3854,XS1526108235,xs1526108235-blue-skyview-co-ltd-7-125,Blue Skyview Co. Ltd.,,,USD,7.125,semiannual
3855,XS1548436473,xs1548436473-bmw-finance-n-v-0-75-17-24,BMW Finance N.V.,2024-07-12,,EUR,0.75,yearly
3856,XS1555164299,xs1555164299-european-bank-for-reconstruction-and-development-6-17-23,European Bank for Reconstruction and Development,2023-07-24,,RUB,6.0,yearly
3857,XS1555825378,xs1555825378-jaguar-land-rover-automotive-plc-2-75-17-21,Jaguar Land Rover Automotive PLC,2021-01-24,,GBP,2.75,semiannual
3858,XS1562663614,xs1562663614-the-export-import-bank-of-korea-3-16-17-32,The Export-Import Bank of Korea,2032-02-16,,CAD,3.16,yearly
3859,XS1568860685,xs1568860685-stadshypotek-ab-0-375-17-24,Stadshypotek AB,2024-02-21,,EUR,0.375,yearly
3860,XS1571293684,xs1571293684-telefonaktiebolaget-l-m-ericsson-1-875-17-24,Telefonaktiebolaget L.M. Ericsson,2024-03-01,,EUR,1.875,yearly
3861,XS1572172754,xs1572172754-commerzbank-ag-4-875-17-27,Commerzbank AG,2027-03-01,True,SGD,4.875,semiannual
3862,XS1576838376,xs1576838376-relx-finance-b-v-1-17-24,RELX Finance B.V.,2024-03-22,,EUR,1.0,yearly
3863,XS1577960203,xs1577960203-tauron-polska-energia-sa-2-375-17-27,Tauron Polska Energia SA,2027-07-05,,EUR,2.375,yearly
3864,XS1578102862,xs1578102862-international-finance-corp-0-000-17-27,International Finance Corp.,2027-03-16,,MXN,,no payments
3865,XS1581103428,xs1581103428-fortune-star-bvi-ltd-5-25-17-22,Fortune Star [BVI] Ltd.,2022-03-23,,USD,5.25,semiannual
3866,XS1582346703,xs1582346703-kuwait-state-of-2-75-17-22,"Kuwait, State of...",2022-03-20,,USD,2.75,semiannual
3867,XS1588061777,xs1588061777-sncf-reseau-s-a-1-875-17-34,SNCF Réseau S.A.,2034-03-30,,EUR,1.875,yearly
3868,XS1590565112,xs1590565112-hypo-noe-landesbank-fuer-niederoesterreich-und-wien-ag-0-375-17-23,HYPO NOE Landesbank für Niederösterreich und Wien AG,2023-04-04,,EUR,0.375,yearly
3869,XS1598037759,xs1598037759-landeskreditbank-baden-wuerttemberg-foerderbank-0-875-17-22,Landeskreditbank Baden-Württemberg - Förderbank,2022-03-07,,GBP,0.875,yearly
3870,XS1598828298,xs1598828298-mdgh-gmtn-b-v-3-75-17-29,MDGH - GMTN B.V.,2029-04-19,,USD,3.75,semiannual
3871,XS1608102973,xs1608102973-international-finance-corp-7-5-17-22,International Finance Corp.,2022-05-09,,BRL,7.5,yearly
3872,XS1615104244,xs1615104244-societe-generale-s-a-5-17-27,Société Générale S.A.,2027-05-19,True,AUD,5.0,yearly
3873,XS1619861864,xs1619861864-the-export-import-bank-of-korea-0-5-17-22,The Export-Import Bank of Korea,2022-05-30,,EUR,0.5,yearly
3874,XS1627599142,xs1627599142-china-evergrande-group-6-25-17-21,China Evergrande Group,2021-06-28,,USD,6.25,semiannual
3875,XS1627599498,xs1627599498-china-evergrande-group-7-5-17-23,China Evergrande Group,2023-06-28,,USD,7.5,semiannual
3876,XS1629866432,xs1629866432-at-t-inc-3-15-17-36,AT & T Inc.,2036-09-04,,EUR,3.15,yearly
3877,XS1637096519,xs1637096519-shanghai-pudong-development-bank-co-ltd-hongkong-branch-2-161-17-20,Shanghai Pudong Development Bank Co. Ltd. [Hongkong Branch],2020-07-14,,USD,2.1614,quarterly
3878,XS1640854144,xs1640854144-deutsche-bahn-finance-gmbh-1-375-17-25,Deutsche Bahn Finance GmbH,2025-07-07,,GBP,1.375,yearly
3879,XS1640903701,xs1640903701-hsbc-holdings-plc-4-75,HSBC Holdings PLC,,True,EUR,4.75,semiannual
3880,XS1648241872,xs1648241872-bank-of-montreal-0-862-17-20,Bank of Montreal,2020-07-20,,GBP,0.8618,quarterly
3881,XS1649193072,xs1649193072-banco-santander-s-a-4-8-17-27,Banco Santander S.A.,2027-07-19,False,AUD,4.8,semiannual
3882,XS1650147660,xs1650147660-powszechna-kasa-oszczednosci-pko-bank-polski-s-a-0-75-17-21,Powszechna Kasa Oszczednosci [PKO] Bank Polski S.A.,2021-07-25,,EUR,0.75,yearly
3883,XS1651205152,xs1651205152-wells-fargo-co-1-375-17-22,Wells Fargo & Co.,2022-06-30,,GBP,1.375,yearly
3884,XS1664203699,xs1664203699-international-bank-for-reconstruction-and-development-10-17-21,International Bank for Reconstruction and Development,2021-08-16,,TRY,10.0,yearly
3885,XS1669792852,xs1669792852-dnb-boligkreditt-a-s-1-35-17-32,DNB Boligkreditt A.S.,2032-08-23,,EUR,1.35,yearly
3886,XS1673097637,xs1673097637-nordic-investment-bank-0-448-17-22,Nordic Investment Bank,2022-08-29,,SEK,0.44799999999999995,yearly
3887,XS1681502537,xs1681502537-ayc-finance-ltd-5-125,AYC Finance Ltd.,,,USD,5.125,semiannual
3888,XS1681811243,xs1681811243-aareal-bank-ag-1-875-17-20,Aareal Bank AG,2020-09-15,,USD,1.875,yearly
3889,XS1682511818,xs1682511818-qiagen-n-v-0-5-17-23,Qiagen N.V.,2023-09-13,,USD,0.5,semiannual
3890,XS1687279841,xs1687279841-bank-of-america-corp-0-000-17-21,Bank of America Corp.,2021-09-21,,EUR,,quarterly
3891,XS1690132847,xs1690132847-landeskreditbank-baden-wuerttemberg-foerderbank-0-426-17-21,Landeskreditbank Baden-Württemberg - Förderbank,2021-09-27,,USD,0.426,quarterly
3892,XS1703065620,xs1703065620-cma-cgm-s-a-5-25-17-25,CMA CGM S.A.,2025-01-15,,EUR,5.25,semiannual
3893,XS1711039591,xs1711039591-china-development-bank-2-75-17-22,China Development Bank,2022-11-16,,USD,2.75,semiannual
3894,XS1711933033,xs1711933033-swedbank-ab-0-25-17-22,Swedbank AB,2022-11-07,,EUR,0.25,yearly
3895,XS1713465687,xs1713465687-oci-n-v-5-18-23,OCI N.V.,2023-04-15,,EUR,5.0,semiannual
3896,XS1713475058,xs1713475058-safari-holding-verwaltungs-gmbh-5-375-17-22,Safari Holding Verwaltungs GmbH,2022-11-30,,EUR,5.375,semiannual
3897,XS1718306050,xs1718306050-societe-generale-s-a-0-5-17-23,Société Générale S.A.,2023-01-13,False,EUR,0.5,yearly
3898,XS1720526737,xs1720526737-dbs-bank-ltd-0-375-17-24,DBS Bank Ltd.,2024-11-21,,EUR,0.375,yearly
3899,XS1732478000,xs1732478000-anglian-water-osprey-financing-plc-4-17-26,Anglian Water [Osprey] Financing PLC,2026-03-08,,GBP,4.0,semiannual
3900,XS1735583095,xs1735583095-platin-1426-gmbh-5-375-17-23,Platin 1426. GmbH,2023-06-15,,EUR,5.375,semiannual
