Identifier,Identifier_Status,Name,ISIN,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Borrower,Amount,Floating,Ref_Rate,Margin,Current_Rate
295,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Valid,"Domestic bonds: Saint-Petersburg, 25011 (RU25011GSP, RU0008586136)",RU0008586136,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,10.01%
297,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Valid,"Domestic bonds: Saint-Petersburg, 25012 (RU25012GSP, RU0008586151)",RU0008586151,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,10.01%
299,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Valid,"Domestic bonds: Saint-Petersburg, 25013 (RU25013GSP, RU0008586201)",RU0008586201,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"370,000,000 RUB",No,,,10.01%
301,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Valid,"Domestic bonds: Saint-Petersburg, 25014 (RU25014GSP, RU0008586219)",RU0008586219,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"250,000,000 RUB",No,,,10%
303,Valid,"Domestic bonds: Saint-Petersburg, 25015 (RU25015GSP, RU0008586235)",RU0008586235,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"250,000,000 RUB",No,,,11.99%
304,Valid,"Domestic bonds: Saint-Petersburg, 25016 (RU25016GSP, RU0008586243)",RU0008586243,early redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,
305,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Valid,"Domestic bonds: Saint-Petersburg, 25017 (RU25017GSP, RU0008586300)",RU0008586300,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"260,000,000 RUB",No,,,13%
307,Valid,"Domestic bonds: Saint-Petersburg, 25018 (RU25018GSP, RU0008586326)",RU0008586326,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"250,000,000 RUB",No,,,
308,Valid,"Domestic bonds: Saint-Petersburg, 25019 (RU25019GSP, RU0008586334)",RU0008586334,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,12.49%
309,Valid,"Domestic bonds: Saint-Petersburg, 25020 (RU25020GSP, RU0008586359)",RU0008586359,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"400,000,000 RUB",No,,,11.99%
310,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Valid,"Domestic bonds: Saint-Petersburg, 25021 (RU25021GSP, RU0008586367)",RU0008586367,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,13.50%
312,Valid,"Domestic bonds: Saint-Petersburg, 25022 (RU25022GSP, RU0008586375)",RU0008586375,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,10.01%
313,Valid,"Domestic bonds: Saint-Petersburg, 25023 (RU25023GSP, RU0008586383)",RU0008586383,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,11.01%
314,Valid,"Domestic bonds: Saint-Petersburg, 25024 (RU25024GSP, RU0008586391)",RU0008586391,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"300,000,000 RUB",No,,,10%
315,Valid,"Domestic bonds: Saint-Petersburg, 25025 (RU25025GSP, RU0008586417)",RU0008586417,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"550,000,000 RUB",No,,,10.99%
316,Valid,"Domestic bonds: Saint-Petersburg, 25026 (RU25026GSP, RU0008586425)",RU0008586425,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"670,000,000 RUB",No,,,11.99%
317,Valid,"Domestic bonds: Saint-Petersburg, 25027 (RU25027GSP, RU0008586474)",RU0008586474,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,15.01%
318,Valid,"Domestic bonds: Saint-Petersburg, 25028 (RU25028GSP, RU0008586482)",RU0008586482,early redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,14.50%
319,Valid,"Domestic bonds: Saint-Petersburg, 25029 (RU25029GSP, RU0008586516)",RU0008586516,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"400,000,000 RUB",No,,,12.51%
320,Valid,"Domestic bonds: Saint-Petersburg, 27001 (RU27001GSP, RU0008586540)",RU0008586540,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"30,000,000 RUB",No,,,
321,Valid,"Domestic bonds: Saint-Petersburg, 25034 (RU25034GSP, RU0008795638)",RU0008795638,redeemed,Coupon bonds,3 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,11.01%
322,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Valid,"International bonds: Saint-Petersburg, 9.50% 18jun2002, USD",,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,,Saint-Petersburg,"300,000,000 USD",No,,,
325,Valid,"Domestic bonds: Saint-Petersburg, 21041 (RU21041GSP, RU0008585765)",RU0008585765,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,0%
326,Valid,"Domestic bonds: Saint-Petersburg, 24004 (RU24004GSP, RU0008585831)",RU0008585831,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
327,Valid,"Domestic bonds: Saint-Petersburg, 24003 (RU24003GSP)",,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
328,Valid,"Domestic bonds: Saint-Petersburg, 24005 (RU24005GSP, RU0008585849)",RU0008585849,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
329,Valid,"Domestic bonds: Saint-Petersburg, 24006 (RU24006GSP, RU0008585856)",RU0008585856,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
330,Valid,"Domestic bonds: Saint-Petersburg, 24008 (RU24008GSP, RU0008585872)",RU0008585872,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
331,Valid,"Domestic bonds: Saint-Petersburg, 24009 (RU24009GSP, RU0008585880)",RU0008585880,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"200,000,000 RUB",No,,,
332,Valid,"Domestic bonds: Saint-Petersburg, 24010 (RU24010GSP, RU0008585930)",RU0008585930,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
333,Valid,"Domestic bonds: Saint-Petersburg, 24012 (RU24012GSP, RU0008585963)",RU0008585963,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"150,000,000 RUB",No,,,
334,Valid,"Domestic bonds: Saint-Petersburg, 24014 (RU24014GSP, RU0008585971)",RU0008585971,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"250,000,000 RUB",No,,,
335,Valid,"Domestic bonds: Saint-Petersburg, 24015 (RU24015GSP, RU0008585997)",RU0008585997,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"200,000,000 RUB",No,,,
336,Valid,"Domestic bonds: Saint-Petersburg, 25030 (RU25030GSP, RU0008586524)",RU0008586524,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,10.01%
337,Valid,"Domestic bonds: Saint-Petersburg, 25031 (RU25031GSP, RU0008586532)",RU0008586532,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,12.49%
338,Valid,"Domestic bonds: Saint-Petersburg, 25032 (RU25032GSP, RU0008586862)",RU0008586862,early redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,12.49%
339,Valid,"Domestic bonds: Saint-Petersburg, 25033 (RU25033GSP, RU0008621156)",RU0008621156,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"350,000,000 RUB",No,,,10.99%
340,Valid,"Domestic bonds: Saint-Petersburg, 25035 (RU25035GSP, RU0008795646)",RU0008795646,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Saint-Petersburg,,"500,000,000 RUB",No,,,10.51%
341,Valid,"Domestic bonds: VSW, 01 (4-01-10041-E, RU0008799234)",RU0008799234,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,VSW,,"1,000,000,000 RUB",No,,,15%
342,Valid,"Domestic bonds: MTS Bank, 01 (40102268B, RU000A0JRH50)",RU000A0JRH50,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,MTS Bank,,"300,000,000 RUB",No,,,18.80%
343,Valid,"Domestic bonds: Bashkirenergo, 01 (4-01-00012-A, RU0009101901)",RU0009101901,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Bashkirenergo,,"500,000,000 RUB",No,,,20%
344,Valid,"Domestic bonds: RusAlFin, 01 (4-01-36012-R, RU0008799218)",RU0008799218,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RusAlFin,,"3,000,000,000 RUB",No,,,10%
345,Valid,"Domestic bonds: Seventh Continent, 01 (4-01-00462-H, RU0009070742)",RU0009070742,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Seventh Continent,,"300,000,000 RUB",No,,,15%
346,Valid,"Domestic bonds: Russia, 21159 (21159RMFS, RU0008524178)",RU0008524178,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"6,000,000,000 RUB",No,,,
347,Valid,"Domestic bonds: Russia, 21160 (21160RMFS, RU0008582747)",RU0008582747,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"5,000,000,000 RUB",No,,,
348,Valid,"Domestic bonds: Russia, 21161 (21161RMFS, RU0009275408)",RU0009275408,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"9,000,000,000 RUB",No,,,
349,Valid,"Domestic bonds: Russia, 25028 (SU25028RMFS0)",,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"163,722,000 RUB",No,,,
350,Valid,"Domestic bonds: Russia, 25029 (25029RMFS, RU0001706004)",RU0001706004,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"163,722,000 RUB",No,,,
351,Valid,"Domestic bonds: Russia, 25053 (25053RMFS, RU0001706012)",RU0001706012,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"5,036,000 RUB",No,,,2%
352,Valid,"Domestic bonds: Russia, 26001 (26001RMFS, RU0001706046)",RU0001706046,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"6,142,000,000,000 RUR",No,,,
353,Valid,"Domestic bonds: Russia, 26002 (26002RMFS, RU0001706053)",RU0001706053,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"6,142,000,000,000 RUR",No,,,10%
354,Valid,"Domestic bonds: Russia, 26003 (26003RMFS, RU0002482498)",RU0002482498,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russia,,"6,142,000,000,000 RUR",No,,,10%
