Identifier,Identifier_Status,Name,ISIN,Ticker,Country,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Conversion_Terms,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Issuer_ID,SPV_Issuer,SPV_Issuer_ID,Borrower,Borrower_ID,Amount,Floating,Ref_Rate,Margin,Current_Rate,Listing,Integral_Multiple,Nominal,Nominal_Intl_Bonds,Min_Settlement_Amt,Outstanding_Principal_Amt,Amt,Amt_Outstanding,Oustanding_Face_Val_Amt
6064,Valid,"Domestic bonds: MiG Finance, 02 (4-02-36055-R, RU000A0JNLB3)",RU000A0JNLB3,MIGFIN V0.1 09/06/11 +++2,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,MiG Finance,791,,,,,"3,000,000,000 RUB",No,,,0.10%,"Moscow Exchange, RU000A0JNLB3 (Unlisted securities, 11/03/2006)",,"1,000 RUB",,,0 RUB,"3,000,000,000 RUB",0 RUB,
6069,Valid,"Domestic bonds: Moscow Region Mortgage Agency, 02 (4-02-09652-A, RU000A0JNKP5)",RU000A0JNKP5,MOIA 7.99 09/07/11 +++2,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Moscow Region Mortgage Agency,2673,,,,,"3,000,000,000 RUB",No,,,7.99%,"Moscow Exchange, RU000A0JNKP5",,"1,000 RUB",,,600 RUB,"3,000,000,000 RUB",,
6078,Valid,"Domestic bonds: EMAlliance-Finance, 01 (4-01-36161-R, RU000A0JNGD9)",RU000A0JNGD9,EMALIA V10.97 07/08/11 +++1,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,EMAlliance-Finance,3421,,,,,"2,000,000,000 RUB",No,,,11%,"Moscow Exchange, RU000A0JNGD9 (Unlisted securities, 09/08/2006)",,"1,000 RUB",,,0 RUB,"2,000,000,000 RUB",0 RUB,
6081,Valid,"Domestic bonds: Beliy Fregat, 01 (4-01-36149-R, RU000A0JNZ94)",RU000A0JNZ94,BELFRE 20 12/17/09 +++1,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Beliy Fregat,3423,,,,,"1,000,000,000 RUB",No,,,20%,"Moscow Exchange, RU000A0JNZ94",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6119,Valid,"Domestic bonds: ALPI-Invest, 01 (4-01-36159-R, RU000A0JNJ60)",RU000A0JNJ60,ALPIIN 18 08/21/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,ALPI-Invest,3444,,,,,"1,500,000,000 RUB",No,,,18%,"Moscow Exchange, RU000A0JNJ60",,"1,000 RUB",,,,"1,500,000,000 RUB",,
6120,Valid,"Domestic bonds: Arctel-Invest, 01 (4-01-36158-R, RU000A0JNGC1)",RU000A0JNGC1,ARKTEL 12 07/17/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Arctel-Invest,3447,,,,,"200,000,000 RUB",No,,,12%,"Moscow Exchange, RU000A0JNGC1",,"1,000 RUB",,,,"200,000,000 RUB",,
6123,Valid,"Domestic bonds: Energosberegayushie Resursy, 01 (4-01-28955-H, RU000A0JNH62)",RU000A0JNH62,ENERES 14 01/18/11 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Energosberegayushie Resursy,3448,,,,,"128,000,000 RUB",No,,,14%,"Moscow Exchange, RU000A0JNH62 (Unlisted securities)",,"1,000 RUB",,,,"128,000,000 RUB",,
6143,Valid,"Domestic bonds: Energysystem, 1-B (UA4000010268)",UA4000010268,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,458,898.91 UAH",No,,,,,,36.11 UAH,,,0 UAH,"4,458,898.91 UAH",0 UAH,
6144,Valid,"Domestic bonds: Energysystem, 1-C (UA4000010276)",UA4000010276,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,307,164.92 UAH",No,,,,,,31.51 UAH,,,0 UAH,"4,307,164.92 UAH",0 UAH,
6145,Valid,"Domestic bonds: Energysystem, 1-D (UA4000010284)",UA4000010284,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,509,480.28 UAH",No,,,,,,28.68 UAH,,,0 UAH,"4,509,480.28 UAH",0 UAH,
6146,Valid,"Domestic bonds: GT TETS Energo, 04 (4-04-50012-A, RU000A0JNKN0)",RU000A0JNKN0,GTTECE 10.71 09/02/09 +++4,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,GT TETS Energo,160,,,,,"2,000,000,000 RUB",No,,,10.71%,"Moscow Exchange, RU000A0JNKN0",,"1,000 RUB",,,,"2,000,000,000 RUB",,
6147,Valid,"Domestic bonds: Energysystem, 1-E (UA4000010292)",UA4000010292,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,465,068.08 UAH",No,,,,,,25.96 UAH,,,0 UAH,"4,465,068.08 UAH",0 UAH,
6148,Valid,"Domestic bonds: Energysystem, 1-F (UA4000010300)",UA4000010300,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"2,603,826.62 UAH",No,,,,,,23.99 UAH,,,0 UAH,"2,603,826.62 UAH",0 UAH,
6149,Valid,"Domestic bonds: Energysystem, 1-G (UA4000010318)",UA4000010318,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"1,949,369.6 UAH",No,,,,,,21.76 UAH,,,0 UAH,"1,949,369.6 UAH",0 UAH,
6150,Valid,"Domestic bonds: Energysystem, 1-H (UA4000010326)",UA4000010326,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,824,967.2 UAH",No,,,,,,20.4 UAH,,,0 UAH,"4,824,967.2 UAH",0 UAH,
6151,Valid,"Domestic bonds: Energysystem, 1-I (UA4000010334)",UA4000010334,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"2,769,048.1 UAH",No,,,,,,18.41 UAH,,,0 UAH,"2,769,048.1 UAH",0 UAH,
6152,Valid,"Domestic bonds: Energysystem, 1-J (UA4000010342)",UA4000010342,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Energysystem,2629,,,,,"4,087,941 UAH",No,,,,,,17.16 UAH,,,0 UAH,"4,087,941 UAH",0 UAH,
6162,Valid,"Domestic bonds: Kazakhstan Kagazy, 13% 18mar2028, KZT (03) (KZP02Y22C027, KZ2C00000271)",KZ2C00000271,KKAGKZ 13 03/18/28 +++3,Kazakhstan,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Kazakhstan Kagazy,2231,,,,,"3,500,000,000 KZT",No,,,13%,"KASE, KKAGb3 (Buffer category)",,1 KZT,,,1 KZT,"3,500,000,000 KZT","3,422,550,000 KZT","3,422,550,000 KZT"
6165,Valid,"Domestic bonds: Marta Finance, 03 (4-03-43901-H, RU000A0JNHB1)",RU000A0JNHB1,MARTAF 15.5 08/02/11 +++3,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Marta Finance,773,,,,,"2,000,000,000 RUB",No,,,15.50%,"Moscow Exchange, RU000A0JNHB1 (B)",,"1,000 RUB",,,"1,000 RUB","2,000,000,000 RUB",,
6207,Valid,"Domestic bonds: BelazKomplekt Plus, 01 (4-01-52849-H, RU000A0JNTD2)",RU000A0JNTD2,BELAZ 16.5 10/22/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,BelazKomplekt Plus,3531,,,,,"500,000,000 RUB",No,,,16.50%,"Moscow Exchange, RU000A0JNTD2",,"1,000 RUB",,,,"500,000,000 RUB",,
6229,Valid,"Domestic bonds: 3i, 1-A (UA130562AA03)",UA130562AA03,TRIIUA V15 09/21/09 A,Ukraine,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,3i,3543,,,,,"4,086,240 UAH",No,,,20%,,,"1,000 UAH",,,0 UAH,"4,086,240 UAH",0 UAH,
6230,Valid,"Domestic bonds: Ukrtekhnofos, 1-C (UA170104AC02)",UA170104AC02,UKRTEC V16 08/24/09 C,Ukraine,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Ukrtekhnofos,1989,,,,,"7,000,000 UAH",No,,,18%,,,"1,000 UAH",,,,"7,000,000 UAH",0 UAH,
6257,Valid,"Domestic bonds: Niva, 1-A (UA170339AA01)",UA170339AA01,,Ukraine,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Niva,3618,,,,,"15,000,000 UAH",No,,,16%,,,"1,000 UAH",,,0 UAH,"15,000,000 UAH",0 UAH,
6258,Valid,"Domestic bonds: Micromegas, 1-A (UA150558BA06)",UA150558BA06,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Micromegas,3619,,,,,"144,591,600 UAH",No,,,,,,40.4 UAH,,,0 UAH,"144,591,600 UAH",0 UAH,
6259,Valid,"Domestic bonds: Micromegas, 1-B (UA150558BB05)",UA150558BB05,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Micromegas,3619,,,,,"26,969,020 UAH",No,,,,,,40.4 UAH,,,0 UAH,"26,969,020 UAH",0 UAH,
6260,Valid,"Domestic bonds: Micromegas, 1-C (UA150558BC04)",UA150558BC04,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Micromegas,3619,,,,,"30,300,000 UAH",No,,,,,,"50,500 UAH",,,0 UAH,"30,300,000 UAH",0 UAH,
6271,Valid,"Domestic bonds: Chernigovskiy plant of building materials, 1-C (UA240183BC06)",UA240183BC06,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Chernigovskiy plant of building materials,3639,,,,,"14,150,070 UAH",No,,,,,,30 UAH,,,0 UAH,"14,150,070 UAH",0 UAH,
6290,Valid,"Domestic bonds: MKH, 02 (4-02-01996-A, RU000A0JNJR3)",RU000A0JNJR3,MKHRU 14.5 08/25/09 +++2,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,MKH,96,,,,,"1,000,000,000 RUB",No,,,14.50%,"Moscow Exchange, RU000A0JNJR3",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6299,Valid,"Domestic bonds: MG Group, 02 (4-02-36074-R, RU000A0JNN80)",RU000A0JNN80,MIRAX 10.99 09/17/09 +++2,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,MG Group,1841,,,,,"3,000,000,000 RUB",No,,,10.99%,"Moscow Exchange, RU000A0JNN80",,"1,000 RUB",,,,"3,000,000,000 RUB",,
6311,Valid,"Domestic bonds: Erkonprodukt, 01 (4-01-36170-R, RU000A0JNKR1)",RU000A0JNKR1,ERKON 17 09/10/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Erkonprodukt,3738,,,,,"1,200,000,000 RUB",No,,,17%,"Moscow Exchange, RU000A0JNKR1",,"1,000 RUB",,,,"1,200,000,000 RUB",,
6317,Valid,"Domestic bonds: NOK, 02 (4-02-11081-F, RU000A0JNPA6)",RU000A0JNPA6,NOKNRU 10 09/22/11 +++2,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NOK,355,,,,,"400,000,000 RUB",No,,,10%,"Moscow Exchange, RU000A0JNPA6 (Unlisted securities, 06/01/2009)",,"1,000 RUB",,,500 RUB,"400,000,000 RUB",,
6354,Valid,"Domestic bonds: Renessans, 1-A (UA230446BA02)",UA230446BA02,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Renessans,3801,,,,,"27,607,239 UAH",No,,,,,,20.2 UAH,,,0 UAH,"27,607,239 UAH",0 UAH,
6360,Valid,"Domestic bonds: Moscow Mortgage Bank, 01 (40102475B, RU000A0JNUS8)",RU000A0JNUS8,MOSZAL 11.65 11/17/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Moscow Mortgage Bank,3503,,,,,"800,000,000 RUB",No,,,11.65%,"Moscow Exchange, RU000A0JNUS8",,"1,000 RUB",,,,"800,000,000 RUB",,
6362,Valid,"Domestic bonds: Agrika Foods, 01 (4-01-55205-E, RU000A0JNPG3)",RU000A0JNPG3,AGRIKA 13.5 09/29/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Agrika Foods,3816,,,,,"1,000,000,000 RUB",No,,,13.50%,"Moscow Exchange, RU000A0JNPG3",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6364,Valid,"Domestic bonds: MosOblTrustInvest, 01 (4-01-05741-A, RU000A0JNP70)",RU000A0JNP70,MOITK 9 09/26/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,MosOblTrustInvest,3817,,,,,"3,000,000,000 RUB",No,,,9%,"Moscow Exchange, RU000A0JNP70",,"1,000 RUB",,,,"3,000,000,000 RUB",,
6372,Valid,"Domestic bonds: Banana-Mama, 01 (4-01-36176-R, RU000A0JNTL5)",RU000A0JNTL5,BANANA 12 10/23/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Banana-Mama,3820,,,,,"1,000,000,000 RUB",No,,,12%,"Moscow Exchange, RU000A0JNTL5 (B)",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6376,Valid,"Domestic bonds: Razgulay-Finance, 02 (4-02-36098-R, RU000A0JNPE8)",RU000A0JNPE8,RAZGRU V17 09/27/11 +++2,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Razgulay-Finance,2650,,,,,"2,000,000,000 RUB",No,,,17%,"Moscow Exchange, RU000A0JNPE8 (Unlisted securities, 11/27/2006)",,"1,000 RUB",,,0 RUB,"2,000,000,000 RUB",0 RUB,
6396,Valid,"Domestic bonds: Promtractor Finance, 02 (4-02-36089-R, RU000A0JNSK9)",RU000A0JNSK9,PROTRA V0.01 10/18/11 +++2,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Promtractor Finance,2358,,,,,"3,000,000,000 RUB",No,,,0.01%,"Moscow Exchange, RU000A0JNSK9 (Unlisted securities, 08/17/2009)",,"1,000 RUB",,,0 RUB,"3,000,000,000 RUB",0 RUB,
6405,Valid,"International bonds: ForteBank, 9.25% 25sep2013, USD (XS0268818118, 00156EAA9)",XS0268818118,ALLIBK 9.25 09/25/13 REGS,Kazakhstan,early redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,ALB Finance B.V.,12271,ForteBank,361,"350,000,000 USD",No,,,9.25%,London S.E.,"1,000 USD",,"1,000 USD","100,000 USD",0 USD,"350,000,000 USD",0 USD,
6406,Valid,"International bonds: BTA bank, 6.25% 27sep2011, EUR (XS0269267000)",XS0269267000,BTAS 6.25 09/27/11 EMTN,Kazakhstan,early redeemed,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,TuranAlem Finance B.V.,527,BTA bank,332,"500,000,000 EUR",No,,,6.25%,London S.E.,"1,000 EUR",,"1,000 EUR","50,000 EUR",0 EUR,"500,000,000 EUR",0 EUR,
6416,Valid,"Domestic bonds: Zhiliyo kievlyanam, 1-D (UA102646BA01)",UA102646BA01,,Ukraine,redemption default,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Zhiliyo kievlyanam,2048,,,,,"100,000,000 UAH",No,,,,,,530 UAH,,,,"100,000,000 UAH",0 UAH,
6436,Valid,"Domestic bonds: Astana-finance, 7.5% 28sep2016, KZT (11) (KZPC1Y10C202)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"10,000,000,000 KZT",No,,,7.50%,"KASE, ASFIb11 (Delisted securities)",,100 KZT,,,0 KZT,"10,000,000,000 KZT","5,051,578,800 KZT",
6437,Valid,"Domestic bonds: Astana-finance, 7.5% 28sep2016, KZT (10) (KZPC3Y10B721)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"500,000,000 KZT",No,,,7.50%,"KASE, ASFIb10 (Delisted securities)",,100 KZT,,,0 KZT,"500,000,000 KZT","275,000,000 KZT",
6444,Valid,"Domestic bonds: TOAP-Finance, 01 (4-01-36188-R, RU000A0JNZA5)",RU000A0JNZA5,TOAPFI 0 12/10/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,TOAP-Finance,3928,,,,,"2,000,000,000 RUB",No,,,0%,"Moscow Exchange, RU000A0JNZA5",,"1,000 RUB",,,"1,000 RUB","2,000,000,000 RUB",,
6454,Valid,"Domestic bonds: Unicum-Finance, 01 (4-01-36189-R, RU000A0JNZL2)",RU000A0JNZL2,UNIKUM 18 12/15/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Unicum-Finance,3943,,,,,"1,000,000,000 RUB",No,,,18%,"Moscow Exchange, RU000A0JNZL2",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6478,Valid,"Domestic bonds: Samokhval, 01 (4-01-36180-R, RU000A0JNT19)",RU000A0JNT19,SAMOKH 14.5 10/21/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Samokhval,3955,,,,,"1,500,000,000 RUB",No,,,14.50%,"Moscow Exchange, RU000A0JNT19",,"1,000 RUB",,,,"1,500,000,000 RUB",,
6479,Valid,"Domestic bonds: Sorus Capital, 01 (4-01-36181-R, RU000A0JNUB4)",RU000A0JNUB4,SORUSC 12 11/05/09 +++1,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Sorus Capital,3956,,,,,"1,200,000,000 RUB",No,,,16%,"Moscow Exchange, RU000A0JNUB4",,"1,000 RUB",,,,"1,200,000,000 RUB",,
6483,Valid,"Domestic bonds: Parnas-M, 02 (4-02-01455-J, RU000A0JNU08)",RU000A0JNU08,PARNAS 9.5 11/17/11 +++2,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Parnas-M,211,,,,,"1,000,000,000 RUB",No,,,9.50%,"Moscow Exchange, RU000A0JNU08",,"1,000 RUB",,,"1,000 RUB","1,000,000,000 RUB",,
6493,Valid,"Domestic bonds: Cherkasskaya Ptizefabrika, 1-B (UA230402AB04)",UA230402AB04,CHEPTA V14 11/10/09 1-B,Ukraine,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Cherkasskaya Ptizefabrika,2486,,,,,"30,000,000 UAH",No,,,25%,,,"1,000 UAH",,,,"30,000,000 UAH",,
6495,Valid,"Domestic bonds: UATC, 1-A (886/2/07, UA102665AA08)",UA102665AA08,UATCUA V14.5 10/17/11,Ukraine,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,UATC,3961,,,,,"75,000,000 UAH",No,,,7.75%,,,"1,000 UAH",,,0 UAH,"75,000,000 UAH","40,227,000 UAH",
6520,Valid,"Domestic bonds: EKOTON, 10% 16aug2020, KZT (01) (KZ2C0Y14C210, KZ2C00001287)",KZ2C00001287,EKOTON 10 08/16/19,Kazakhstan,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,EKOTON,3972,,,,,"1,000,000,000 KZT",No,,,10%,"KASE, EKTNb1 (Alternative board, Bonds)",,100 KZT,,,100 KZT,"1,000,000,000 KZT","983,900,000 KZT","983,900,000 KZT"
6536,Valid,"Domestic bonds: Energomash-Finance, 01 (4-01-36186-R, RU000A0JNX96)",RU000A0JNX96,ENEFIN V13 11/22/11 +++1,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Energomash-Finance,3982,,,,,"700,000,000 RUB",No,,,13%,"Moscow Exchange, RU000A0JNX96 (Unlisted securities, 12/22/2006)",,"1,000 RUB",,,0 RUB,"700,000,000 RUB",0 RUB,
6539,Valid,"Domestic bonds: Sugar Company, 01 (4-01-03816-D, RU000A0JNUU4)",RU000A0JNUU4,EVROSE 14 11/10/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Sugar Company,3987,,,,,"2,000,000,000 RUB",No,,,14%,"Moscow Exchange, RU000A0JNUU4",,"1,000 RUB",,,,"2,000,000,000 RUB",,
6540,Valid,"Domestic bonds: MIAN-Development, 01 (4-01-51143-H, RU000A0JP3Q1)",RU000A0JP3Q1,MIANDV V13 03/02/10 01,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,MIAN-Development,3988,,,,,"2,000,000,000 RUB",No,,,13%,"Moscow Exchange, RU000A0JP3Q1",,"1,000 RUB",,,,"2,000,000,000 RUB",,
6542,Valid,"Domestic bonds: Derzhava-Finance, 01 (4-01-36175-R, RU000A0JPCL6)",RU000A0JPCL6,DERFIN 16.5 07/27/10 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Derzhava-Finance,3989,,,,,"1,000,000,000 RUB",No,,,16.50%,"Moscow Exchange, RU000A0JPCL6",,"1,000 RUB",,,,"1,000,000,000 RUB",,
6549,Valid,"Domestic bonds: Terna-finance, 02 (4-02-36112-R, RU000A0JNUF5)",RU000A0JNUF5,TERNAF 1 11/04/11 +++2,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Terna-finance,2812,,,,,"1,500,000,000 RUB",No,,,1%,"Moscow Exchange, RU000A0JNUF5 (Unlisted securities, 04/29/2009)",,"1,000 RUB",,,0 RUB,"1,500,000,000 RUB",0 RUB,
6554,Valid,"Domestic bonds: Karaganda Factory of Asbestos and Cement Products, 10% 05dec2011, KZT (2011-2) (KZPC2Y05B806, KZ2C00001527)",KZ2C00001527,KARASB 10 12/05/11 +++2,Kazakhstan,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Karaganda Factory of Asbestos and Cement Products,10073,,,,,"1,500,000,000 KZT",No,,,,"KASE, KAZIb2 (Non-rated, first subcategory)",,1 KZT,,,1 KZT,"1,500,000,000 KZT",,
6555,Valid,"Domestic bonds: SAMARA RESERVOIR PLANT-Finance, 01 (4-01-36192-R, RU000A0JNYW2)",RU000A0JNYW2,SRZFIN 18 12/10/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,SAMARA RESERVOIR PLANT-Finance,3997,,,,,"600,000,000 RUB",No,,,18%,"Moscow Exchange, RU000A0JNYW2",,"1,000 RUB",,,,"600,000,000 RUB",,
6575,Valid,"Domestic bonds: UKRGAZ, 1-B (663/2/06, UA102683BB04)",UA102683BB04,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,UKRGAZ,4004,,,,,"269,484,030 UAH",No,,,,,,30 UAH,,,0 UAH,"269,484,030 UAH",0 UAH,
6576,Valid,"Domestic bonds: Sevkabel Finance, 03 (4-03-36062-R, RU000A0JP567)",RU000A0JP567,SEKBRU 10.5 03/27/12 +++3,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Sevkabel Finance,1523,,,,,"1,500,000,000 RUB",No,,,10.50%,"Moscow Exchange, RU000A0JP567 (Unlisted securities, 07/14/2009)",,"1,000 RUB",,,"1,000 RUB","1,500,000,000 RUB",,
6604,Valid,"Domestic bonds: Forum-Invest, 1-A",,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Forum-Invest,4009,,,,,"28,458,240 UAH",No,,,,,,48 UAH,,,0 UAH,"28,458,240 UAH",0 UAH,
6605,Valid,"Domestic bonds: Forum-Invest, 1-B",,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Forum-Invest,4009,,,,,"42,466,680 UAH",No,,,,,,51 UAH,,,0 UAH,"42,466,680 UAH",0 UAH,
6608,Valid,"Domestic bonds: Forum-Invest, 1-E (UA4000021653)",UA4000021653,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Forum-Invest,4009,,,,,"42,539,380 UAH",No,,,,,,52 UAH,,,0 UAH,"42,539,380 UAH",0 UAH,
6611,Valid,"Domestic bonds: Poleks, 1A-1Z",,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Poleks,4011,,,,,"53,500,000 UAH",No,,,,,,"1,000 UAH",,,0 UAH,"53,500,000 UAH",0 UAH,
