Identifier,ISIN,Issuer,Coupon,Maturity,Subordinated,Currency,Next Interest Date
104907943,DE000A11QDS4,Kreissparkasse G&#246;ppingen,"1,375 %",25.03.2021,Nein,Euro,25.03.2021
231312721,IT0004696149,Intesa Sanpaolo S.p.A.,"5,000 %",25.03.2021,Nein,Euro,25.03.2021
271742748,CH0496692994,Baloise Holding AG,"0,000 %",25.03.2021,Nein,Schweizer Franken,25.09.2020
14478541,XS0249239830,"Slowakei, Staat","4,000 %",26.03.2021,Nein,Euro,12.03.2021
78558109,XS0907289978,Telefonica Emisiones S.A.U.,"3,961 %",26.03.2021,Nein,Euro,26.03.2021
78972734,XS0909788290,Volkswagen International Finance N.V.,"2,000 %",26.03.2021,Nein,Euro,26.03.2021
100279479,XS1048644907,AIB Mortgage Bank,"2,250 %",26.03.2021,Nein,Euro,26.03.2021
126716049,DE000LB01RS4,Landesbank Baden-W&#252;rttemberg,"0,400 %",26.03.2021,Nein,Euro,26.03.2021
213681378,XS1792571652,Beijing Capital Polaris Investment Co. Ltd.,"4,250 %",26.03.2021,Nein,US Dollar,26.09.2020
213927732,XS1799047565,European Investment Bank (EIB),"12,500 %",27.03.2021,Nein,T&#252;rkische Lira,27.03.2021
14496588,DE000A0JBST9,Deutsche Pfandbriefbank AG,"4,560 %",28.03.2021,Ja,Euro,28.03.2021
39153132,XS0544654162,Nordea Bank Abp,"4,000 %",29.03.2021,Ja,Euro,29.03.2021
44946968,AT000B008339,Erste Group Bank AG,"3,340 %",29.03.2021,Nein,Euro,29.03.2021
54805899,US445545AE60,"Ungarn, Staat","6,375 %",29.03.2021,Nein,US Dollar,29.09.2020
99958591,XS1048519596,RCI Banque S.A.,"2,250 %",29.03.2021,Nein,Euro,29.03.2021
182701846,EU000A1G0DM5,European Financial Stability Facility EFSF,"0,000 %",29.03.2021,Nein,Euro,29.03.2021
185142289,US80105NAG07,Sanofi S.A.,"4,000 %",29.03.2021,Nein,US Dollar,29.09.2020
211220891,DE000LB1P225,Landesbank Baden-W&#252;rttemberg,"2,800 %",29.03.2021,Nein,US Dollar,29.03.2021
38016174,US900123BH29,"T&#252;rkei, Republik","5,625 %",30.03.2021,Nein,US Dollar,30.09.2020
128483260,XS1117297942,Geberit International B.V.,"0,688 %",30.03.2021,Nein,Euro,30.03.2021
158052587,US86960BAL62,Svenska Handelsbanken AB,"2,450 %",30.03.2021,Nein,US Dollar,30.09.2020
158121360,US172967KK69,Citigroup Inc.,"2,700 %",30.03.2021,Nein,US Dollar,30.09.2020
158121361,US172967KL43,Citigroup Inc.,"1,688 %",30.03.2021,Nein,US Dollar,30.09.2020
185017004,XS1586555606,Volkswagen International Finance N.V.,"0,500 %",30.03.2021,Nein,Euro,30.03.2021
60696228,ZAG000030396,"S&#252;dafrika, Staat","6,750 %",31.03.2021,Nein,S&#252;dafrikanischer Rand,21.09.2020
77066129,XS0605996700,European Investment Bank (EIB),"9,000 %",31.03.2021,Nein,S&#252;dafrikanischer Rand,31.03.2021
100408116,XS1050547857,Morgan Stanley Inc.,"2,375 %",31.03.2021,Nein,Euro,31.03.2021
153484239,CH0274740262,Zuercher Kantonalbank,"0,250 %",31.03.2021,Nein,Schweizer Franken,30.03.2021
153838889,XS1361120238,Agence Francaise de Developpement,"0,125 %",31.03.2021,Nein,Euro,31.03.2021
158248198,US912828Q376,"USA, Staat","1,250 %",31.03.2021,Nein,US Dollar,30.09.2020
158358061,US912828C574,"USA, Staat","2,250 %",31.03.2021,Nein,US Dollar,30.09.2020
174090005,AU3CB0236636,Corporacion Andina de Fomento,"4,000 %",31.03.2021,Nein,Australischer Dollar,23.09.2020
185120221,XS1584884347,Novartis Finance S.A.,"0,000 %",31.03.2021,Nein,Euro,31.03.2021
195555279,XS1649890388,Timberland Securities Investment PLC,"6,850 %",31.03.2021,Ja,Euro,15.08.2020
230771351,IT0005170367,Intesa Sanpaolo S.p.A.,"0,640 %",31.03.2021,Nein,Euro,30.09.2020
231312719,IT0004691355,Intesa Sanpaolo S.p.A.,"5,000 %",31.03.2021,Nein,Euro,31.03.2021
272387533,XS2075859046,Kreditanstalt f&#252;r Wiederaufbau,"1,750 %",31.03.2021,Nein,US Dollar,31.03.2021
45104380,US94974BEV80,Wells Fargo &amp; Co.,"4,600 %",01.04.2021,Nein,US Dollar,01.10.2020
100408124,XS1050840724,Leeds Building Society,"2,625 %",01.04.2021,Nein,Euro,01.04.2021
100408133,XS1051003538,Glencore Finance (Europe) Ltd.,"2,750 %",01.04.2021,Nein,Euro,01.04.2021
100618134,XS1047674947,"Brasilien, Staat","2,875 %",01.04.2021,Nein,Euro,18.03.2021
109407998,US24702RAQ48,Dell Inc.,"4,625 %",01.04.2021,Nein,US Dollar,01.10.2020
153968321,US437076BL56,The Home Depot Inc.,"2,000 %",01.04.2021,Nein,US Dollar,01.10.2020
156738582,DE000DB9TUL9,Deutsche Bank AG,"1,000 %",01.04.2021,Nein,Euro,31.03.2021
157126291,US12592BAF13,CNH Industrial Capital LLC,"4,875 %",01.04.2021,Nein,US Dollar,01.10.2020
157211573,XS1385173734,Jyske Realkredit A/S,"0,250 %",01.04.2021,Nein,Euro,01.04.2021
157939301,XS1388661651,Deutsche Post AG,"0,375 %",01.04.2021,Nein,Euro,01.04.2021
166221074,PTBSSBOE0012,"BRISA Concess&#227;o Rodovi&#225;ria, S.A.","3,875 %",01.04.2021,Nein,Euro,01.04.2021
175272641,DE000LFA1677,LfA F&#246;rderbank Bayern,"0,050 %",01.04.2021,Nein,Euro,01.04.2021
195555266,DE000A2E4Z04,PCC SE,"4,000 %",01.04.2021,Nein,Euro,01.10.2020
203005369,US911312BP01,United Parcel Service Inc.,"2,050 %",01.04.2021,Nein,US Dollar,01.10.2020
204242361,US375558AQ69,Gilead Sciences Inc.,"4,500 %",01.04.2021,Nein,US Dollar,01.10.2020
99892430,FR0011801596,Rallye S.A.,"4,000 %",02.04.2021,Nein,Euro,02.04.2021
100675914,AT0000A15WN0,Erste Group Bank AG,"2,050 %",02.04.2021,Nein,Euro,02.04.2021
100505609,XS1048589458,D&#252;rr AG,"2,875 %",03.04.2021,Nein,Euro,03.04.2021
94450955,USG24524AH67,Country Garden Holdings Co. Ltd.,"7,250 %",04.04.2021,Nein,US Dollar,04.10.2020
98877526,USF0819HE459,Banque PSA Finance S.A.,"5,750 %",04.04.2021,Nein,US Dollar,04.10.2020
183855556,DE000LB1DSW1,Landesbank Baden-W&#252;rttemberg,"1,750 %",04.04.2021,Nein,US Dollar,06.07.2020
77605866,USG9400PAA24,Votorantim S.A.,"6,750 %",05.04.2021,Nein,US Dollar,05.10.2020
211940715,DE000LB1P3P3,Landesbank Baden-W&#252;rttemberg,"1,700 %",05.04.2021,Nein,US Dollar,06.07.2020
216591265,US345397YZ01,Ford Motor Credit Co. LLC,"3,470 %",05.04.2021,Nein,US Dollar,21.09.2020
45085729,XS0613145712,ABN AMRO Bank N.V.,"4,250 %",06.04.2021,Nein,Euro,06.04.2021
45104048,DE000A1KQYE3,"Sachsen-Anhalt, Land","3,750 %",06.04.2021,Nein,Euro,06.04.2021
79138731,XS0911691003,Heineken N.V.,"2,000 %",06.04.2021,Nein,Euro,06.04.2021
158357962,DE000DB9TVB8,Deutsche Bank AG,"0,650 %",06.04.2021,Nein,Euro,06.07.2020
159926778,US60937GAD88,"Mongolei, Staat","10,875 %",06.04.2021,Nein,US Dollar,22.09.2020
177025657,AT000B042080,UniCredit Bank Austria AG,"0,214 %",06.04.2021,Nein,Euro,06.04.2021
45318956,DE000EH1ACA0,Commerzbank AG,"4,125 %",07.04.2021,Nein,Euro,07.04.2021
45371341,XS0614401197,Skandinaviska Enskilda Banken,"4,125 %",07.04.2021,Nein,Euro,07.04.2021
100766105,XS1054714248,International Personal Finance PLC,"5,750 %",07.04.2021,Nein,Euro,07.04.2021
141184066,DE000BLB3RZ6,Bayerische Landesbank,"0,750 %",07.04.2021,Nein,Euro,07.04.2021
158479998,US89114QBG29,The Toronto-Dominion Bank,"2,125 %",07.04.2021,Nein,US Dollar,07.10.2020
158493609,US89114QBH02,The Toronto-Dominion Bank,"2,387 %",07.04.2021,Nein,US Dollar,07.07.2020
182054677,US55608YAA38,Macquarie Bank Ltd.,"6,625 %",07.04.2021,Ja,US Dollar,07.10.2020
91998902,AU3SG0001258,New South Wales Treasury Corp.,"4,000 %",08.04.2021,Nein,Australischer Dollar,01.10.2020
99744790,CH0239322495,Co&#246;peratieve Rabobank U.A.,"1,125 %",08.04.2021,Nein,Schweizer Franken,08.04.2021
100618156,XS1050547931,Redexis Gas Finance B.V.,"2,750 %",08.04.2021,Nein,Euro,08.04.2021
158804092,US83368TAD00,Soci&#233;t&#233; G&#233;n&#233;rale S.A.,"2,500 %",08.04.2021,Nein,US Dollar,08.10.2020
158876591,US89236TCZ66,Toyota Motor Credit Corporation,"1,900 %",08.04.2021,Nein,US Dollar,08.10.2020
159692420,XS0422620566,Firstgroup PLC,"8,750 %",08.04.2021,Nein,Britisches Pfund,08.04.2021
183516200,DE0004778469,Series D Euro-DM Securities Ltd.,"0,000 %",08.04.2021,Nein,Deutsche Mark,-
205091348,US83368TAE82,Soci&#233;t&#233; G&#233;n&#233;rale S.A.,"2,682 %",08.04.2021,Nein,US Dollar,08.07.2020
251432287,XS1976945995,ING Bank N.V.,"0,082 %",08.04.2021,Nein,Euro,08.07.2020
100862236,XS1055095704,Autobahnen- und Schnellstra&#223;en-Finanzierungs-AG,"1,375 %",09.04.2021,Nein,Euro,09.04.2021
129361472,XS1214673722,ArcelorMittal S.A.,"3,000 %",09.04.2021,Nein,Euro,09.04.2021
129484142,XS1215290922,DVB Bank SE,"0,875 %",09.04.2021,Nein,Euro,09.04.2021
129522370,DE000HV2AMG3,UniCredit Bank AG,"0,125 %",09.04.2021,Nein,Euro,09.04.2021
153008532,DE0001141737,Bundesrepublik Deutschland,"0,000 %",09.04.2021,Nein,Euro,09.04.2021
156175212,XS1377248635,Grenke Finance PLC,"1,500 %",09.04.2021,Nein,Euro,09.04.2021
166221069,FR0011842939,EssilorLuxottica S.A.,"1,750 %",09.04.2021,Nein,Euro,09.04.2021
214645382,XS1801767051,Daimler International Finance B.V.,"4,800 %",09.04.2021,Nein,Chinesischer Renminbi Yuan,09.04.2021
214924947,XS1713466578,PerkinElmer Inc.,"0,600 %",09.04.2021,Nein,Euro,26.03.2021
215152842,US37045XCH70,General Motors Financial Co. Inc.,"2,170 %",09.04.2021,Nein,US Dollar,25.06.2020
215152843,US37045XCJ37,General Motors Financial Co. Inc.,"3,550 %",09.04.2021,Nein,US Dollar,09.10.2020
231563487,DE000A2E4EC8,"Berlin, Region","0,107 %",09.04.2021,Nein,Euro,09.07.2020
251432290,XS1978200555,Toyota Finance Australia Ltd.,"0,000 %",09.04.2021,Nein,Euro,09.04.2021
251599898,US00254EMU37,AB Svensk Exportkredit,"2,375 %",09.04.2021,Nein,US Dollar,09.10.2020
100766138,ES0001352535,"Galicien, Provinz","2,950 %",10.04.2021,Nein,Euro,10.04.2021
214645381,XS1793463461,Ease Trade Global Ltd.,"5,200 %",10.04.2021,Nein,US Dollar,10.10.2020
158995825,USU09513GL78,BMW US Capital LLC,"2,000 %",11.04.2021,Nein,US Dollar,11.10.2020
272269999,XS1654542437,International Bank for Reconstruction and Development,"5,625 %",11.04.2021,Nein,Indische Rupie,11.04.2021
40035464,XS0250729109,Santander UK PLC,"4,250 %",12.04.2021,Nein,Euro,12.04.2021
45370726,DE000LB0FR20,Landesbank Baden-W&#252;rttemberg,"4,000 %",12.04.2021,Nein,Euro,12.04.2021
98350926,XS0250882478,"Libanon, Staat","8,250 %",12.04.2021,Nein,US Dollar,28.09.2020
158804097,USJ4599LAJ10,Mizuho Financial Group Inc.,"2,632 %",12.04.2021,Nein,US Dollar,12.10.2020
167199296,DE000A0Z1Q49,"Hessen, Region","3,750 %",12.04.2021,Nein,Euro,12.04.2021
180114818,XS1394068693,Olam International Ltd.,"4,500 %",12.04.2021,Nein,US Dollar,12.10.2020
185732021,FR0013250685,RCI Banque S.A.,"0,396 %",12.04.2021,Nein,Euro,13.07.2020
185998367,XS1597300778,Deutsche Bank AG,"2,125 %",12.04.2021,Nein,Norwegische Krone,12.04.2021
186109362,DE000DE04YJ4,Deutsche Bank AG,"0,500 %",12.04.2021,Nein,Euro,12.04.2021
186109371,XS1596727609,Volkswagen Financial Services N.V.,"1,500 %",12.04.2021,Nein,Britisches Pfund,12.04.2021
214654854,DE000LB1P5M5,Landesbank Baden-W&#252;rttemberg,"2,910 %",12.04.2021,Nein,US Dollar,12.04.2021
215048602,XS1806453814,Volkswagen Financial Services AG,"0,375 %",12.04.2021,Nein,Euro,12.04.2021
215154619,USU09513HG74,BMW US Capital LLC,"1,721 %",12.04.2021,Nein,US Dollar,13.07.2020
215154630,USU09513HF91,BMW US Capital LLC,"3,100 %",12.04.2021,Nein,US Dollar,12.10.2020
215471702,US05565EAV74,BMW US Capital LLC,"1,721 %",12.04.2021,Nein,US Dollar,13.07.2020
215472743,DE000A2E4D75,"Berlin, Region","0,146 %",12.04.2021,Nein,Euro,13.07.2020
229843069,AU3CB0173748,Kommunalbanken AS,"6,500 %",12.04.2021,Nein,Australischer Dollar,05.10.2020
248822824,DE000LB13AU1,Landesbank Baden-W&#252;rttemberg,"2,500 %",12.04.2021,Nein,US Dollar,12.04.2021
248956604,US500769HU15,Kreditanstalt f&#252;r Wiederaufbau,"2,625 %",12.04.2021,Nein,US Dollar,12.10.2020
252529466,XS1982186774,Toyota Motor Finance [Netherlands] B.V.,"0,246 %",12.04.2021,Nein,Euro,13.07.2020
45362526,FR0011033125,Arkea Home Loans SFH S.A.,"4,500 %",13.04.2021,Nein,Euro,13.04.2021
158995826,XS1392936651,Japan Finance Organization for Municipalities,"2,125 %",13.04.2021,Nein,US Dollar,13.10.2020
159010278,XS1394760182,Japan Tobacco Inc.,"2,000 %",13.04.2021,Nein,US Dollar,13.10.2020
159105029,US06675GAH83,Banque Federative du Credit Mutuel - BFCM,"2,500 %",13.04.2021,Nein,US Dollar,13.10.2020
215471719,XS1807499857,Volkswagen Financial Services N.V.,"2,000 %",13.04.2021,Nein,Norwegische Krone,13.04.2021
215572253,AU3CB0252328,Volkswagen Financial Services Australia Ltd.,"3,250 %",13.04.2021,Nein,Australischer Dollar,06.10.2020
215572255,US89236TEV35,Toyota Motor Credit Corporation,"1,591 %",13.04.2021,Nein,US Dollar,13.07.2020
215572258,US06367T4W71,Bank of Montreal,"3,100 %",13.04.2021,Nein,US Dollar,13.10.2020
215643689,US89236TEU51,Toyota Motor Credit Corporation,"2,950 %",13.04.2021,Nein,US Dollar,13.10.2020
215681514,US06367T4X54,Bank of Montreal,"1,771 %",13.04.2021,Nein,US Dollar,13.07.2020
223266340,AU3CB0228716,Landwirtschaftliche Rentenbank,"2,500 %",13.04.2021,Nein,Australischer Dollar,06.10.2020
38726866,XS0541140793,"Tschechien, Staat","3,625 %",14.04.2021,Nein,Euro,14.04.2021
45450210,DE000LB0FR38,Landesbank Baden-W&#252;rttemberg,"0,031 %",14.04.2021,Nein,Euro,14.04.2021
100991285,XS1055536251,SpareBank 1 SR Bank ASA,"2,125 %",14.04.2021,Nein,Euro,14.04.2021
128483125,RU000A0JREQ7,"Russland, Staat","7,600 %",14.04.2021,Nein,Russischer Rubel,14.10.2020
158052583,DE000DB9TUX4,Deutsche Bank AG,"1,000 %",14.04.2021,Nein,Euro,14.04.2021
158683178,XS1394181157,ASB Finance Ltd. London Branch,"0,250 %",14.04.2021,Nein,Euro,14.04.2021
158804141,US50066RAA41,Korea National Oil Corp.,"2,125 %",14.04.2021,Nein,US Dollar,14.10.2020
158876625,XS1395036947,Jyske Bank A/S,"0,625 %",14.04.2021,Nein,Euro,14.04.2021
244434138,DE000NLB62D7,Norddeutsche Landesbank Girozentrale,"0,794 %",14.04.2021,Nein,Euro,14.10.2020
11331491,PTOTEYOE0007,"Portugal, Staat","3,850 %",15.04.2021,Nein,Euro,15.04.2021
43623030,FI4000020961,"Finnland, Staat","3,500 %",15.04.2021,Nein,Euro,15.04.2021
45408759,FR0011035575,Compagnie de Financement Foncier SA,"4,375 %",15.04.2021,Nein,Euro,15.04.2021
71918495,US931142DD23,Walmart Inc.,"4,250 %",15.04.2021,Nein,US Dollar,15.10.2020
82687643,XS0611586263,Citic Pacific Ltd.,"6,625 %",15.04.2021,Nein,US Dollar,15.10.2020
86613230,DE000LB0TUK0,Landesbank Baden-W&#252;rttemberg,"1,800 %",15.04.2021,Nein,Euro,15.04.2021
90129300,XS0981438582,Gas Natural Fenosa Finance B.V.,"3,500 %",15.04.2021,Nein,Euro,15.04.2021
99377257,XS1044744032,European Investment Bank (EIB),"1,500 %",15.04.2021,Nein,Euro,15.04.2021
99823583,US298785GL42,European Investment Bank (EIB),"2,500 %",15.04.2021,Nein,US Dollar,15.10.2020
101218900,DE000A11QFA7,ProSiebenSat.1 Media SE,"2,625 %",15.04.2021,Nein,Euro,15.04.2021
122446539,XS1056202762,Huntsman International LLC,"5,125 %",15.04.2021,Nein,Euro,02.10.2020
143465714,DE000DB2G0T8,Deutsche Bank AG,"1,000 %",15.04.2021,Nein,Euro,15.10.2020
147919707,US83368TAA60,Soci&#233;t&#233; G&#233;n&#233;rale S.A.,"5,200 %",15.04.2021,Nein,US Dollar,15.10.2020
164964269,US013817AV33,Howmet Aerospace Inc.,"5,400 %",15.04.2021,Nein,US Dollar,15.10.2020
199961825,US713448DX30,"PepsiCo, Inc.","2,000 %",15.04.2021,Nein,US Dollar,15.10.2020
215471705,US9128284G23,"USA, Staat","2,375 %",15.04.2021,Nein,US Dollar,15.10.2020
226987019,IT0005330961,"Italien, Staat","0,050 %",15.04.2021,Nein,Euro,15.10.2020
250081662,XS1964612565,Kommunalbanken AS,"1,259 %",15.04.2021,Nein,US Dollar,15.07.2020
251299448,USU1109MAA46,Broadcom Inc.,"3,125 %",15.04.2021,Nein,US Dollar,15.10.2020
291647674,EU000A2SB9J1,Europ&#228;ischer Stabilit&#228;tsmechanismus ESM,-,15.04.2021,Nein,Euro,-
79802102,DE000MHB09J5,M&#252;nchener Hypothekenbank eG,"1,375 %",16.04.2021,Nein,Euro,16.04.2021
101111822,XS1057478023,Lloyds Bank PLC,"1,375 %",16.04.2021,Nein,Euro,16.04.2021
101218875,FR0011847714,Icade S.A.,"2,250 %",16.04.2021,Nein,Euro,16.04.2021
101287554,FR0011847425,UNEDIC - Union Nationale Interprofessionnelle pur l&#39;Emploi dans l&#39;Industrie et le Commerce,"1,500 %",16.04.2021,Nein,Euro,16.04.2021
101464983,XS1057841980,"UBS AG, Niederlassung London","1,375 %",16.04.2021,Nein,Euro,16.04.2021
192712243,US225433AM38,Credit Suisse Group Funding Guernsey Ltd.,"3,450 %",16.04.2021,Nein,US Dollar,18.10.2020
215046447,US370334CB82,General Mills Inc.,"1,716 %",16.04.2021,Nein,US Dollar,16.07.2020
220696057,US370334CD49,General Mills Inc.,"3,200 %",16.04.2021,Nein,US Dollar,16.10.2020
231312725,IT0005013971,Banca Monte dei Paschi di Siena S.p.A.,"2,875 %",16.04.2021,Nein,Euro,16.04.2021
252172601,XS1982196815,Landeskreditbank Baden-W&#252;rttemberg - F&#246;rderbank,"2,375 %",16.04.2021,Nein,US Dollar,16.04.2021
215471710,XS1804839931,Bank of China Ltd. Singapur Branch,"1,885 %",17.04.2021,Nein,US Dollar,17.07.2020
215471712,XS1804840517,Bank of China Limited (Luxembourg Branch),"0,250 %",17.04.2021,Nein,Euro,17.07.2020
39581650,XS0550466469,Credit Agricole S.A.,"3,900 %",19.04.2021,Ja,Euro,19.04.2021
159196516,XS1396763192,Bank of Montreal,"0,125 %",19.04.2021,Nein,Euro,19.04.2021
159282765,XS1396830058,Deutsche Telekom International Finance B.V.,"0,250 %",19.04.2021,Nein,Euro,19.04.2021
159350624,XS1396380930,BNG Bank N.V.,"1,625 %",19.04.2021,Nein,US Dollar,19.10.2020
159926729,US06051GFW42,Bank of America Corporation,"2,625 %",19.04.2021,Nein,US Dollar,19.10.2020
159928365,US06051GFV68,Bank of America Corporation,"2,555 %",19.04.2021,Nein,US Dollar,20.07.2020
161194469,XS1412416486,National Australia Bank Ltd.,"0,346 %",19.04.2021,Nein,Euro,20.07.2020
186109356,AU3CB0243756,Telstra Corp. Ltd.,"2,900 %",19.04.2021,Nein,Australischer Dollar,12.10.2020
186109358,AU3FN0035465,Telstra Corp. Ltd.,"1,670 %",19.04.2021,Nein,Australischer Dollar,14.07.2020
213402928,DE000LB1P365,Landesbank Baden-W&#252;rttemberg,"2,850 %",19.04.2021,Nein,US Dollar,19.04.2021
215782563,XS1807198145,Westwood Group Holdings Ltd.,"4,875 %",19.04.2021,Nein,US Dollar,19.10.2020
215782566,US4581X0DB14,Inter-American Development Bank,"2,625 %",19.04.2021,Nein,US Dollar,19.10.2020
215782611,US247361ZM39,Delta Air Lines Inc.,"3,400 %",19.04.2021,Nein,US Dollar,19.10.2020
222959051,DE000A1H3HL2,Investitionsbank Berlin,"0,000 %",19.04.2021,Nein,Euro,19.10.2020
68378813,XS0619200990,MDGH - GMTN B.V.,"5,500 %",20.04.2021,Nein,US Dollar,20.10.2020
144727688,XS1308628707,Raiffeisenlandesbank Nieder&#246;sterreich-Wien AG,"0,500 %",20.04.2021,Nein,Euro,20.04.2021
153505116,XS0127992336,Innogy Finance B.V.,"6,500 %",20.04.2021,Nein,Britisches Pfund,20.04.2021
159350622,FR0013155868,Carrefour Banque,"0,456 %",20.04.2021,Nein,Euro,20.07.2020
180288600,USM8931TAA71,T&#252;rkiye Garanti Bankasi A.S.,"6,250 %",20.04.2021,Nein,US Dollar,20.10.2020
215893829,US064159LH78,The Bank of Nova Scotia,"1,575 %",20.04.2021,Nein,US Dollar,20.07.2020
215893846,US064159LG95,The Bank of Nova Scotia,"3,125 %",20.04.2021,Nein,US Dollar,20.10.2020
45887166,US857524AA08,"Polen, Staat","5,125 %",21.04.2021,Nein,US Dollar,21.10.2020
128514777,DE000LB01R95,Landesbank Baden-W&#252;rttemberg,"0,400 %",21.04.2021,Nein,Euro,21.04.2021
159926785,US61746BEA08,Morgan Stanley Inc.,"2,500 %",21.04.2021,Nein,US Dollar,21.10.2020
159926788,US61746BEB80,Morgan Stanley Inc.,"2,509 %",21.04.2021,Nein,US Dollar,21.07.2020
160531104,USY47606AD33,Kia Motors,"2,625 %",21.04.2021,Nein,US Dollar,21.10.2020
187456640,XS1600398504,Oxley MTN Pte Ltd.,"6,375 %",21.04.2021,Nein,US Dollar,21.10.2020
127479592,DE000LB010S6,Landesbank Baden-W&#252;rttemberg,"1,750 %",22.04.2021,Nein,Norwegische Krone,22.04.2021
184826242,DE000LB1DTF4,Landesbank Baden-W&#252;rttemberg,"0,100 %",22.04.2021,Nein,Euro,24.07.2020
185434419,DE000LB1DTL2,Landesbank Baden-W&#252;rttemberg,"1,700 %",22.04.2021,Nein,US Dollar,27.07.2020
228981555,US040114GW47,"Argentinien, Republik","6,875 %",22.04.2021,Nein,US Dollar,22.10.2020
90890819,XS0984367077,JPMorgan Chase &amp; Co.,"2,625 %",23.04.2021,Nein,Euro,23.04.2021
101467596,FR0011859396,Auchan Holding S.A.,"1,750 %",23.04.2021,Nein,Euro,23.04.2021
101467711,DE000BHY0AJ1,Berlin Hyp AG,"1,250 %",23.04.2021,Nein,Euro,23.04.2021
105066909,DE000BLB8WM3,Bayerische Landesbank,"1,740 %",23.04.2021,Nein,Euro,23.04.2021
215799347,XS1810806049,"UBS AG, Niederlassung London","0,267 %",23.04.2021,Nein,Euro,23.07.2020
216003609,US91127LAA89,United Overseas Bank Ltd.,"3,200 %",23.04.2021,Nein,US Dollar,23.10.2020
216003610,US91127LAB62,United Overseas Bank Ltd.,"1,523 %",23.04.2021,Nein,US Dollar,23.07.2020
216003649,USN84413CJ59,Syngenta Finance N.V.,"3,933 %",23.04.2021,Nein,US Dollar,24.10.2020
216091686,XS1810682564,New Metro Global Ltd.,"6,500 %",23.04.2021,Nein,US Dollar,23.10.2020
80261309,AT0000A0ZYV3,Erste Group Bank AG,"2,300 %",24.04.2021,Nein,Euro,24.04.2021
213823118,DE000LB1P5E2,Landesbank Baden-W&#252;rttemberg,"1,750 %",24.04.2021,Nein,US Dollar,24.07.2020
16911949,FR0010192997,"Frankreich, Staat","3,750 %",25.04.2021,Nein,Euro,25.04.2021
37350284,FR0010915660,Caisse d&#39;Amortissement de la Dette Sociale,"3,375 %",25.04.2021,Nein,Euro,25.04.2021
48599432,XS0529414319,Carrefour S.A.,"3,875 %",25.04.2021,Nein,Euro,25.04.2021
160956762,US38141GVU56,The Goldman Sachs Group Inc.,"2,625 %",25.04.2021,Nein,US Dollar,25.10.2020
167759088,USP14623AC98,Banco Nacional de Costa Rica,"5,875 %",25.04.2021,Nein,US Dollar,25.10.2020
181975948,PL0000108916,"Polen, Staat","2,000 %",25.04.2021,Nein,Polnischer Zloty New,24.04.2021
45695428,AT000B008362,Erste Group Bank AG,"4,000 %",26.04.2021,Nein,Euro,26.04.2021
159692499,XS1400169428,Wells Fargo &amp; Co.,"0,459 %",26.04.2021,Nein,Euro,27.07.2020
159928036,BE6286238561,KBC Groep N.V.,"1,000 %",26.04.2021,Nein,Euro,26.04.2021
180203054,XS1319820384,Georgian Oil &amp; Gas Corp.,"6,750 %",26.04.2021,Nein,US Dollar,26.10.2020
200916373,DE000LB1D1L0,Landesbank Baden-W&#252;rttemberg,"0,200 %",26.04.2021,Nein,Euro,25.04.2021
212087750,USP71695AB92,"Provinz Neuquen, Region","7,875 %",26.04.2021,Nein,US Dollar,26.07.2020
216492393,US29874QDK76,European Bank for Reconstruction and Development,"2,750 %",26.04.2021,Nein,US Dollar,26.10.2020
45745785,XS0619548216,ABN AMRO Bank N.V.,"6,375 %",27.04.2021,Ja,Euro,27.04.2021
93307299,FR0011637586,Electricite de France S.A. (E.D.F.),"2,250 %",27.04.2021,Nein,Euro,27.04.2021
46479791,XS0621167732,Luchthaven Schiphol N.V.,"4,430 %",28.04.2021,Nein,Euro,28.04.2021
72568766,CH0111999816,"Schweiz, Staat","2,000 %",28.04.2021,Nein,Schweizer Franken,28.04.2021
101825675,XS1061386642,BNG Bank N.V.,"2,625 %",28.04.2021,Nein,US Dollar,28.10.2020
101825779,DE000A11QJW3,"Bremen, Region","1,375 %",28.04.2021,Nein,Euro,28.04.2021
101980575,XS1061697568,"PepsiCo, Inc.","1,750 %",28.04.2021,Nein,Euro,14.04.2021
131488500,BE0002489640,KBC Bank N.V.,"0,125 %",28.04.2021,Nein,Euro,28.04.2021
154947009,USG21895AB60,CNPC HK Overseas Capital Ltd.,"4,500 %",28.04.2021,Nein,US Dollar,28.10.2020
158251333,DE000DE04WL4,Deutsche Bank AG,"0,700 %",28.04.2021,Nein,Euro,28.07.2020
159786775,DE000A2AATX6,Karlsberg Brauerei Gmbh,"5,250 %",28.04.2021,Nein,Euro,28.04.2021
159926835,XS1400342587,Distribuidora Internacional de Alimentacion S.A.,"1,000 %",28.04.2021,Nein,Euro,28.04.2021
298154135,XS0620695204,Alfa Bond Issuance PLC,"7,750 %",28.04.2021,Nein,US Dollar,28.04.2018
80273969,XS0923361827,Anglo American Capital PLC,"2,500 %",29.04.2021,Nein,Euro,29.04.2021
160180828,DE000LB09PC5,Landesbank Baden-W&#252;rttemberg,"0,750 %",29.04.2021,Nein,Euro,29.04.2021
183608591,XS1402169848,International Finance Corp.,"4,750 %",29.04.2021,Nein,Mexikanischer  Peso,15.04.2021
298007407,XS1223394914,T&#252;rkiye Cumhuriyeti Ziraat Bankasi A.S.,"4,750 %",29.04.2021,Nein,US Dollar,29.04.2018
