Issuer,Currency,Due_Date,Coupon,ISIN
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,16.04.2021,"1,500%",FR0011847425
Icade S.A.,EUR,16.04.2021,"2,250%",FR0011847714
La Banque Postale,EUR,23.04.2026,"2,750%",FR0011855865
"Île de France, Région",EUR,24.04.2026,"2,375%",FR0011858323
Auchan Holding S.A.,EUR,23.04.2021,"1,750%",FR0011859396
Société Générale SFH S.A.,EUR,29.04.2024,"2,000%",FR0011859495
"Frankreich, Republik",EUR,25.05.2030,"2,500%",FR0011883966
Compagnie de Financement Foncier,EUR,07.05.2024,"2,000%",FR0011885722
Engie S.A.,EUR,19.05.2026,"2,375%",FR0011911247
Ingenico Group S.A.,EUR,20.05.2021,"2,500%",FR0011912872
Vilmorin & Compagnie S.A.,EUR,26.05.2021,"2,375%",FR0011921881
CNP Assurances S.A.,EUR,05.06.2045,"4,250%",FR0011949403
Air Liquide Finance,EUR,05.06.2024,"1,875%",FR0011951771
"Frankreich, Republik",EUR,25.11.2024,"1,750%",FR0011962398
"Frankreich, Republik",EUR,25.07.2030,"0,735%",FR0011982776
Crédit Mutuel Home Loan SFH S.A.,EUR,19.06.2024,"1,750%",FR0011991306
RTE Réseau de Transport d'Electricité S.A.,EUR,20.06.2029,"2,750%",FR0011991488
Neopost S.A.,EUR,23.06.2021,"2,500%",FR0011993120
BPCE SFH,EUR,27.06.2024,"1,750%",FR0011993518
BPCE S.A.,EUR,08.07.2026,"2,750%",FR0012018851
Gecina S.A.,EUR,30.07.2021,"1,750%",FR0012059202
"Casino, Guichard-Perrachon S.A.",EUR,05.08.2026,"4,048%",FR0012074284
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,25.10.2022,"0,875%",FR0012143451
Sanofi S.A.,EUR,10.03.2022,"1,125%",FR0012146777
Sanofi S.A.,EUR,10.09.2026,"1,750%",FR0012146801
Caisse d'Amortissement de la Dette Sociale,EUR,25.11.2024,"1,375%",FR0012159812
LVMH Moët Hennessy Louis Vuitton SE,EUR,24.09.2021,"1,000%",FR0012173706
Pernod-Ricard S.A.,EUR,27.09.2024,"2,125%",FR0012173862
Vallourec S.A.,EUR,30.09.2024,"2,250%",FR0012188456
Kering S.A.,EUR,01.10.2021,"1,375%",FR0012199008
RTE Réseau de Transport d'Electricité S.A.,EUR,08.10.2024,"1,625%",FR0012199065
RTE Réseau de Transport d'Electricité S.A.,EUR,09.10.2034,"2,625%",FR0012199081
Aéroports de Paris S.A.,EUR,07.04.2025,"1,500%",FR0012206993
Indigo Group S.A.S.,EUR,16.04.2025,"2,125%",FR0012236669
Bpifrance Financement S.A.,EUR,25.10.2021,"0,750%",FR0012243814
Klépierre S.A.,EUR,06.11.2024,"1,750%",FR0012283653
Compagnie de Financement Foncier,EUR,12.11.2021,"0,625%",FR0012299394
BNP Paribas Home Loan SFH,EUR,14.11.2024,"0,875%",FR0012300754
APRR,EUR,15.01.2025,"1,875%",FR0012300812
APRR,EUR,15.01.2021,"1,125%",FR0012300820
Crédit Agricole S.A.,EUR,22.12.2024,"3,000%",FR0012304459
Mercialys,EUR,31.03.2023,"1,787%",FR0012332203
Crédit Agricole Home Loan SFH,EUR,28.11.2022,"0,625%",FR0012332450
Société Foncière Lyonnaise S.A.,EUR,26.11.2021,"1,875%",FR0012346856
"Casino, Guichard-Perrachon S.A.",EUR,07.02.2025,"3,580%",FR0012369122
IMERYS S.A.,EUR,10.12.2024,"2,000%",FR0012370872
Danone S.A.,EUR,14.01.2025,"1,125%",FR0012432912
Compagnie de Financement Foncier,EUR,21.01.2025,"0,750%",FR0012447696
Gecina S.A.,EUR,20.01.2025,"1,500%",FR0012448025
Crédit Mutuel Home Loan SFH S.A.,EUR,21.01.2022,"0,500%",FR0012452217
Caisse Francaise de Financement Local,EUR,22.01.2035,"1,250%",FR0012467942
Caisse d'Amortissement de la Dette Sociale,EUR,25.05.2023,"0,500%",FR0012467991
Wendel SE,EUR,09.02.2027,"2,500%",FR0012516417
"Frankreich, Republik",EUR,25.05.2025,"0,500%",FR0012517027
BPCE SFH,EUR,11.10.2022,"0,500%",FR0012518926
"Frankreich, Republik",EUR,01.03.2025,"0,104%",FR0012558310
Edenred S.A.,EUR,10.03.2025,"1,375%",FR0012599892
Engie S.A.,EUR,13.03.2026,"1,000%",FR0012602761
Kering S.A.,EUR,28.03.2022,"0,875%",FR0012648244
Agence France Locale,EUR,20.03.2022,"0,375%",FR0012649333
Veolia Environnement S.A.,EUR,10.01.2028,"1,590%",FR0012663169
Klépierre S.A.,EUR,17.04.2023,"1,000%",FR0012674661
Bpifrance Financement S.A.,EUR,25.05.2025,"0,500%",FR0012682060
"Île de France, Région",EUR,23.04.2027,"0,625%",FR0012685691
La Banque Postale Home Loan SFH,EUR,22.04.2022,"0,175%",FR0012686087
BNP Paribas Home Loan SFH,EUR,07.05.2025,"0,375%",FR0012716371
Crédit Agricole S.A.,EUR,15.07.2025,"2,700%",FR0012737963
La Poste,EUR,04.06.2025,"1,125%",FR0012758985
RCI Banque S.A.,EUR,08.06.2022,"1,250%",FR0012759744
Air Liquide Finance,EUR,03.06.2025,"1,250%",FR0012766889
Gecina S.A.,EUR,17.06.2024,"2,000%",FR0012790327
Compagnie de Financement Foncier,EUR,24.06.2025,"1,125%",FR0012801512
Capgemini SE,EUR,01.07.2023,"2,500%",FR0012821940
Aéroports de Paris S.A.,EUR,24.07.2023,"1,500%",FR0012861821
BPCE SFH,EUR,28.07.2020,"0,375%",FR0012870061
Bolloré S.A.,EUR,29.07.2021,"2,875%",FR0012872174
Caisse Centrale du Crédit Immobilier de France,EUR,31.07.2020,"0,375%",FR0012872182
Teréga S.A.,EUR,05.08.2025,"2,200%",FR0012881555
Crédit Agricole Home Loan SFH,EUR,21.10.2021,"0,375%",FR0012936656
"Frankreich, Republik",EUR,25.11.2025,"1,000%",FR0012938116
Compagnie de Financement Foncier,EUR,10.02.2023,"0,625%",FR0012938959
Schneider Electric SE,EUR,08.09.2023,"1,500%",FR0012939841
Caisse Francaise de Financement Local,EUR,09.09.2025,"1,125%",FR0012939882
Icade S.A.,EUR,14.09.2022,"1,875%",FR0012942647
ACCOR S.A.,EUR,17.09.2023,"2,375%",FR0012949949
Sanofi S.A.,EUR,22.09.2021,"0,875%",FR0012969020
Sanofi S.A.,EUR,22.09.2025,"1,500%",FR0012969038
TDF Infrastructure SAS,EUR,19.10.2022,"2,875%",FR0013016631
Caisse Francaise de Financement Local,EUR,26.01.2023,"0,625%",FR0013019510
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,21.10.2027,"1,250%",FR0013020450
Compagnie de Financement Foncier,EUR,29.10.2020,"0,375%",FR0013031614
APRR,EUR,15.01.2024,"1,500%",FR0013044278
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,04.11.2021,"0,300%",FR0013044294
Société Foncière Lyonnaise S.A.,EUR,16.11.2022,"2,250%",FR0013053030
RCI Banque S.A.,EUR,17.11.2020,"1,375%",FR0013053055
Société des Autoroutes du Nord et de l'Est de la France (SANEF SA),EUR,16.03.2026,"1,875%",FR0013053329
La Banque Postale,EUR,19.11.2027,"2,750%",FR0013054913
RTE Réseau de Transport d'Electricité S.A.,EUR,27.11.2025,"1,625%",FR0013060209
Danone S.A.,EUR,30.05.2024,"1,250%",FR0013063609
Crédit Mutuel Home Loan SFH S.A.,EUR,07.04.2026,"0,875%",FR0013065117
Iliad S.A.,EUR,05.12.2022,"2,125%",FR0013065372
CNP Assurances S.A.,EUR,10.06.2047,"4,500%",FR0013066388
Havas S.A.,EUR,08.12.2020,"1,875%",FR0013066669
Crédit Agricole Home Loan SFH,EUR,11.09.2023,"0,625%",FR0013066743
BPCE S.A.,EUR,14.12.2022,"1,125%",FR0013067170
SCOR SE,EUR,08.06.2046,"3,000%",FR0013067196
Caisse Francaise de Financement Local,EUR,13.04.2022,"0,500%",FR0013088424
Caisse Francaise de Financement Local,EUR,13.01.2031,"1,500%",FR0013088432
Société Générale SFH S.A.,EUR,20.01.2023,"0,500%",FR0013094869
BNP Paribas Home Loan SFH,EUR,02.09.2021,"0,250%",FR0013106622
Compagnie de Financement Foncier,EUR,02.02.2026,"1,000%",FR0013106630
Crédit Mutuel Home Loan SFH S.A.,EUR,12.09.2022,"0,375%",FR0013113453
Bpifrance Financement S.A.,EUR,19.02.2021,"0,100%",FR0013118684
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,03.03.2026,"0,625%",FR0013128584
"Frankreich, Republik",EUR,25.05.2026,"0,500%",FR0013131877
Crédit Agricole S.A.,EUR,27.04.2026,"0,000%",FR0013134897
Compagnie de Financement Foncier,EUR,16.03.2022,"0,250%",FR0013135282
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,24.11.2023,"0,250%",FR0013142809
IMERYS S.A.,EUR,31.03.2022,"0,875%",FR0013143344
Sanofi S.A.,EUR,05.04.2024,"0,625%",FR0013143997
Sanofi S.A.,EUR,05.04.2028,"1,125%",FR0013144003
TDF Infrastructure SAS,EUR,07.04.2026,"2,500%",FR0013144201
Caisse Francaise de Financement Local,EUR,13.04.2026,"0,625%",FR0013150257
RTE Réseau de Transport d'Electricité S.A.,EUR,19.10.2026,"1,000%",FR0013152899
RTE Réseau de Transport d'Electricité S.A.,EUR,18.04.2036,"2,000%",FR0013152907
Lagardère S.C.A.,EUR,13.04.2023,"2,750%",FR0013153160
Peugeot S.A.,EUR,14.04.2023,"2,375%",FR0013153707
"Frankreich, Republik",EUR,25.05.2066,"1,750%",FR0013154028
"Frankreich, Republik",EUR,25.05.2036,"1,250%",FR0013154044
BPCE S.A.,EUR,22.04.2026,"2,875%",FR0013155009
RCI Banque S.A.,EUR,17.05.2023,"1,000%",FR0013169778
Pernod-Ricard S.A.,EUR,18.05.2026,"1,500%",FR0013172939
Vivendi S.A.,EUR,26.05.2021,"0,750%",FR0013176302
Vivendi S.A.,EUR,26.05.2026,"1,875%",FR0013176310
JCDecaux S.A.,EUR,01.06.2023,"1,000%",FR0013179553
La Banque Postale,EUR,09.06.2028,"3,000%",FR0013181898
Icade S.A.,EUR,10.06.2026,"1,750%",FR0013181906
APRR,EUR,09.01.2026,"1,125%",FR0013182078
Air Liquide Finance,EUR,13.06.2022,"0,500%",FR0013182821
Air Liquide Finance,EUR,13.06.2024,"0,750%",FR0013182839
Air Liquide Finance,EUR,13.06.2028,"1,250%",FR0013182847
Régie Autonome des Transports Parisiens,EUR,15.06.2024,"0,375%",FR0013183431
Tereos Finance Groupe I,EUR,16.06.2023,"4,125%",FR0013183571
Caisse Francaise de Financement Local,EUR,23.06.2025,"0,375%",FR0013184181
Eutelsat S.A.,EUR,23.06.2021,"1,125%",FR0013184702
Christian Dior SE,EUR,24.06.2021,"0,750%",FR0013185444
Agence Française de Développement,EUR,21.07.2026,"0,250%",FR0013190188
"Frankreich, Republik",EUR,25.11.2026,"0,250%",FR0013200813
Bureau Veritas SA,EUR,07.09.2023,"1,250%",FR0013201084
Compagnie Financière et Industrielle des Autoroutes 'COFIROUTE' S.A.,EUR,07.02.2025,"0,375%",FR0013201126
Schneider Electric SE,EUR,09.09.2024,"0,250%",FR0013201308
Caisse Fédérale du Crédit Mutuel Nord Europe,EUR,12.09.2026,"2,125%",FR0013201431
Compagnie de Financement Foncier,EUR,14.09.2026,"0,225%",FR0013201449
RCI Banque S.A.,EUR,15.09.2023,"0,500%",FR0013201597
Sanofi S.A.,EUR,13.09.2022,"0,000%",FR0013201621
Sanofi S.A.,EUR,13.01.2027,"0,500%",FR0013201639
Crédit Agricole Assurances S.A.,EUR,27.09.2048,"4,750%",FR0013203734
"Frankreich, Republik",EUR,25.07.2047,"0,104%",FR0013209871
Veolia Environnement S.A.,EUR,04.10.2023,"0,314%",FR0013210408
Veolia Environnement S.A.,EUR,04.01.2029,"0,927%",FR0013210416
Air France-KLM S.A.,EUR,12.10.2022,"3,750%",FR0013212958
Electricité de France S.A. (E.D.F.),EUR,13.10.2026,"1,000%",FR0013213295
Electricité de France S.A. (E.D.F.),EUR,13.10.2036,"1,875%",FR0013213303
SFIL S.A.,EUR,18.10.2024,"0,125%",FR0013213675
Wendel SE,EUR,20.04.2023,"1,000%",FR0013213709
CNP Assurances S.A.,EUR,20.10.2022,"1,875%",FR0013213832
SAGESS - Société Anonyme de Gestion de Stocks de Sécurité,EUR,20.10.2028,"0,625%",FR0013214137
Crédit Agricole Public Sector SCF,EUR,31.10.2026,"0,250%",FR0013215688
Danone S.A.,EUR,03.11.2020,"0,167%",FR0013216892
Danone S.A.,EUR,03.11.2022,"0,424%",FR0013216900
Danone S.A.,EUR,03.11.2024,"0,709%",FR0013216918
Danone S.A.,EUR,03.11.2028,"1,208%",FR0013216926
Orange S.A.,EUR,03.02.2027,"0,875%",FR0013217114
Capgemini SE,EUR,09.11.2021,"0,500%",FR0013218138
RCI Banque S.A.,EUR,10.11.2021,"0,625%",FR0013218153
Crédit Agricole S.A.,EUR,22.12.2026,"2,500%",FR0013218849
APRR,EUR,06.01.2027,"1,250%",FR0013220258
APRR,EUR,06.01.2031,"1,875%",FR0013220266
Vivendi S.A.,EUR,24.11.2023,"1,125%",FR0013220399
Agence Française de Développement,EUR,30.04.2024,"0,375%",FR0013220902
Caisse Francaise de Financement Local,EUR,01.12.2031,"1,125%",FR0013221389
Bouygues S.A.,EUR,07.06.2027,"1,375%",FR0013222494
Caisse Francaise de Financement Local,EUR,11.01.2027,"0,750%",FR0013230703
RCI Banque S.A.,EUR,12.01.2022,"0,750%",FR0013230737
Valéo S.A.,EUR,11.01.2023,"0,625%",FR0013230943
Compagnie de Financement Foncier,EUR,12.09.2023,"0,325%",FR0013231081
BPCE S.A.,EUR,18.01.2023,"1,125%",FR0013231743
Société Générale SFH S.A.,EUR,23.01.2024,"0,250%",FR0013232071
Agence Française de Développement,EUR,30.04.2022,"0,125%",FR0013232105
Bpifrance Financement S.A.,EUR,25.11.2026,"0,875%",FR0013232253
Groupama Assurances Mutuelles S.A.,EUR,23.01.2027,"6,000%",FR0013232444
La Banque Postale Home Loan SFH,EUR,24.01.2025,"0,375%",FR0013232998
ACCOR S.A.,EUR,25.01.2024,"1,250%",FR0013233384
Bolloré S.A.,EUR,25.01.2022,"2,000%",FR0013233426
"Frankreich, Republik",EUR,25.06.2039,"1,750%",FR0013234333
Crédit Agricole Home Loan SFH,EUR,03.02.2032,"1,375%",FR0013234986
Crédit Agricole Home Loan SFH,EUR,03.04.2025,"0,500%",FR0013235025
Crédit Agricole Home Loan SFH,EUR,03.02.2037,"1,500%",FR0013235132
Caisse d'Amortissement de la Dette Sociale,EUR,25.11.2022,"0,125%",FR0013235165
Crédit Mutuel Home Loan SFH S.A.,EUR,10.02.2025,"0,625%",FR0013236247
Auchan Holding S.A.,EUR,07.02.2022,"0,625%",FR0013236312
Crédit Mutuel Arkéa,EUR,09.02.2029,"3,500%",FR0013236544
Klépierre S.A.,EUR,16.02.2027,"1,375%",FR0013238045
BPCE SFH,EUR,21.02.2024,"0,375%",FR0013238219
BNP Paribas Home Loan SFH,EUR,22.07.2024,"0,375%",FR0013238797
Caisse des Dépôts et Consignations,EUR,01.03.2022,"0,200%",FR0013239985
Renault S.A.,EUR,08.03.2023,"1,000%",FR0013240835
Air Liquide Finance,EUR,08.03.2027,"1,000%",FR0013241346
RCI Banque S.A.,EUR,08.03.2024,"1,375%",FR0013241361
Orange S.A.,EUR,11.09.2023,"0,750%",FR0013241536
Orange S.A.,EUR,09.09.2027,"1,500%",FR0013241676
AXA Bank Europe SCF,EUR,14.03.2022,"0,125%",FR0013242302
"Île de France, Région",EUR,14.03.2029,"1,375%",FR0013242336
Bpifrance Financement S.A.,EUR,25.11.2024,"0,750%",FR0013244415
Spie S.A.,EUR,22.03.2024,"3,125%",FR0013245263
Peugeot S.A.,EUR,23.03.2024,"2,000%",FR0013245586
Engie S.A.,EUR,27.03.2024,"0,875%",FR0013245859
Engie S.A.,EUR,27.03.2028,"1,500%",FR0013245867
Veolia Environnement S.A.,EUR,30.03.2022,"0,672%",FR0013246725
Veolia Environnement S.A.,EUR,30.11.2026,"1,496%",FR0013246733
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,28.03.2027,"1,250%",FR0013246873
Edenred S.A.,EUR,30.03.2027,"1,875%",FR0013247202
Téléperformance SE,EUR,03.04.2024,"1,500%",FR0013248465
Suez S.A.,EUR,03.04.2025,"1,000%",FR0013248507
Suez S.A.,EUR,03.04.2029,"1,500%",FR0013248523
"Frankreich, Republik",EUR,25.05.2027,"1,000%",FR0013250560
RCI Banque S.A.,EUR,12.04.2021,"0,396%",FR0013250685
RCI Banque S.A.,EUR,11.04.2025,"1,625%",FR0013250693
Autoroutes du Sud de la France S.A.,EUR,20.04.2026,"1,125%",FR0013251170
Bel S.A.,EUR,18.04.2024,"1,500%",FR0013251329
Union Nationale Interprofessionnelle pour l'Emploi dans l'Industrie et le Commer,EUR,20.04.2032,"1,500%",FR0013252228
Arkema S.A.,EUR,20.04.2027,"1,500%",FR0013252277
Caisse Francaise de Financement Local,EUR,11.05.2024,"0,375%",FR0013255858
Caisse Francaise de Financement Local,EUR,11.05.2032,"1,250%",FR0013255866
Bpifrance Financement S.A.,EUR,25.05.2027,"1,000%",FR0013256369
Compagnie de Financement Foncier,EUR,16.09.2022,"0,200%",FR0013256427
Agence France Locale,EUR,20.06.2024,"0,500%",FR0013256534
"Frankreich, Republik",EUR,25.05.2048,"2,000%",FR0013257524
Rallye S.A.,EUR,23.01.2023,"4,371%",FR0013257557
LVMH Moët Hennessy Louis Vuitton SE,EUR,26.05.2022,"0,375%",FR0013257615
LVMH Moët Hennessy Louis Vuitton SE,EUR,26.05.2024,"0,750%",FR0013257623
Crédit Mutuel Arkéa,EUR,31.05.2024,"1,250%",FR0013258936
SEB S.A.,EUR,31.05.2024,"1,500%",FR0013259116
Société Générale SFH S.A.,EUR,02.06.2025,"0,500%",FR0013259413
BPCE SFH,EUR,08.06.2029,"1,000%",FR0013260361
"Casino, Guichard-Perrachon S.A.",EUR,13.06.2022,"1,865%",FR0013260379
RCI Banque S.A.,EUR,14.03.2022,"0,312%",FR0013260486
APRR,EUR,13.01.2032,"1,625%",FR0013260551
Bpifrance Financement S.A.,EUR,25.11.2022,"0,000%",FR0013261328
Lagardère S.C.A.,EUR,21.06.2024,"1,625%",FR0013262912
La Banque Postale Home Loan SFH,EUR,23.06.2027,"0,625%",FR0013262961
Crédit Agricole Home Loan SFH,EUR,30.09.2024,"0,375%",FR0013263951
Compagnie Plastic Omnium S.A.,EUR,26.06.2024,"1,250%",FR0013264066
Coentreprise de Transport d'Electricite S.A. [CTE],EUR,29.09.2024,"0,875%",FR0013264405
Coentreprise de Transport d'Electricite S.A. [CTE],EUR,29.07.2028,"1,500%",FR0013264421
Coentreprise de Transport d'Electricite S.A. [CTE],EUR,29.07.2032,"2,125%",FR0013264439
Régie Autonome des Transports Parisiens,EUR,25.05.2027,"0,875%",FR0013264488
SAFRAN,EUR,28.06.2021,"0,168%",FR0013264884
Gecina S.A.,EUR,30.06.2022,"0,000%",FR0013266343
Gecina S.A.,EUR,30.06.2027,"1,375%",FR0013266350
Gecina S.A.,EUR,30.06.2032,"2,000%",FR0013266368
Agence Française de Développement,EUR,05.07.2032,"1,375%",FR0013266434
Altarea S.C.A.,EUR,05.07.2024,"2,250%",FR0013266525
Legrand S.A.,EUR,06.07.2024,"0,750%",FR0013266830
Legrand S.A.,EUR,06.07.2032,"1,875%",FR0013266848
Crédit Agricole Public Sector SCF,EUR,02.08.2027,"0,875%",FR0013267473
Ingenico Group S.A.,EUR,13.09.2024,"1,625%",FR0013281946
Agence Française de Développement,USD,14.09.2020,"1,875%",FR0013282076
Vivendi S.A.,EUR,18.09.2024,"0,875%",FR0013282571
RCI Banque S.A.,EUR,26.09.2022,"0,750%",FR0013283371
Engie S.A.,EUR,28.02.2023,"0,375%",FR0013284247
Engie S.A.,EUR,28.09.2037,"2,000%",FR0013284270
Eramet S.A.,EUR,28.02.2024,"4,196%",FR0013284643
"Frankreich, Republik",EUR,25.05.2028,"0,750%",FR0013286192
La Banque Postale,EUR,16.10.2024,"1,000%",FR0013286838
Iliad S.A.,EUR,14.10.2024,"1,500%",FR0013287273
RTE Réseau de Transport d'Electricité S.A.,EUR,23.10.2037,"1,875%",FR0013290749
Crédit Mutuel Arkéa,EUR,25.10.2029,"1,875%",FR0013291556
RCI Banque S.A.,EUR,04.11.2024,"0,309%",FR0013292687
RCI Banque S.A.,GBP,08.11.2022,"1,875%",FR0013293883
Holding d'Infrastructures de Transport S.A.S.,EUR,27.11.2027,"1,625%",FR0013298676
Tikehau Capital S.C.A.,EUR,27.11.2023,"3,000%",FR0013298890
Renault S.A.,EUR,28.11.2025,"1,000%",FR0013299435
BNP Paribas Cardif S.A.,EUR,29.11.2024,"1,000%",FR0013299641
Aéroports de Paris S.A.,EUR,13.12.2027,"1,000%",FR0013302197
Schneider Electric SE,EUR,13.12.2026,"0,875%",FR0013302809
RCI Banque S.A.,EUR,12.01.2023,"0,176%",FR0013309606
Orange S.A.,EUR,16.01.2030,"1,375%",FR0013310224
Crédit Agricole Assurances S.A.,EUR,29.01.2048,"2,625%",FR0013312154
BPCE S.A.,EUR,31.01.2028,"1,625%",FR0013312501
Agence Française de Développement,EUR,31.01.2028,"1,000%",FR0013312774
Crédit Mutuel Home Loan SFH S.A.,EUR,02.02.2026,"0,625%",FR0013313020
Ubisoft Entertainment S.A.,EUR,30.01.2023,"1,289%",FR0013313186
Elis S.A.,EUR,15.02.2023,"1,875%",FR0013318094
Elis S.A.,EUR,15.02.2026,"2,875%",FR0013318102
Société Générale S.A.,EUR,06.03.2023,"0,098%",FR0013321791
RCI Banque S.A.,EUR,12.07.2021,"0,250%",FR0013322120
RCI Banque S.A.,EUR,12.03.2025,"0,229%",FR0013322146
Peugeot S.A.,EUR,20.03.2025,"2,000%",FR0013323326
BPCE S.A.,EUR,23.03.2023,"0,093%",FR0013323672
Orange S.A.,EUR,20.03.2028,"1,375%",FR0013323870
Sanofi S.A.,EUR,21.03.2023,"0,500%",FR0013324332
Sanofi S.A.,EUR,21.03.2026,"1,000%",FR0013324340
Sanofi S.A.,EUR,21.03.2030,"1,375%",FR0013324357
Sanofi S.A.,EUR,21.03.2038,"1,875%",FR0013324373
"Frankreich, Republik",EUR,25.07.2036,"0,103%",FR0013327491
Capgemini SE,EUR,18.10.2024,"1,000%",FR0013327962
AXA Bank Europe SCF,EUR,18.04.2025,"0,500%",FR0013329224
Renault S.A.,EUR,18.04.2024,"1,000%",FR0013329315
THALES S.A.,EUR,19.04.2024,"0,875%",FR0013330115
Iliad S.A.,EUR,25.11.2021,"0,625%",FR0013331188
RCI Banque S.A.,EUR,26.05.2026,"1,625%",FR0013334695
Arkéa Home Loans SFH S.A.,EUR,01.06.2033,"1,500%",FR0013336229
Carrefour S.A.,EUR,12.06.2023,"0,875%",FR0013342128
Valéo S.A.,EUR,18.06.2025,"1,500%",FR0013342334
Compagnie Générale des Établissements Michelin [Michelin et Cie] S.C.p.A.,EUR,03.09.2025,"0,875%",FR0013357845
Compagnie Générale des Établissements Michelin [Michelin et Cie] S.C.p.A.,EUR,03.09.2030,"1,750%",FR0013357852
Compagnie Générale des Établissements Michelin [Michelin et Cie] S.C.p.A.,EUR,03.09.2038,"2,500%",FR0013357860
HSBC France S.A.,EUR,04.09.2021,"0,200%",FR0013358116
HSBC France S.A.,EUR,04.09.2028,"1,375%",FR0013358124
Orange S.A.,EUR,12.09.2025,"1,000%",FR0013359197
VINCI S.A.,EUR,26.09.2025,"1,000%",FR0013367620
VINCI S.A.,EUR,26.09.2030,"1,750%",FR0013367638
Renault S.A.,EUR,28.09.2026,"2,000%",FR0013368206
Electricité de France S.A. (E.D.F.),EUR,02.10.2030,"2,000%",FR0013368545
Eutelsat S.A.,EUR,02.10.2025,"2,000%",FR0013369493
La Banque Postale Home Loan SFH,EUR,04.10.2028,"1,000%",FR0013369667
Bureau Veritas SA,EUR,06.01.2025,"1,875%",FR0013370129
Crédit Mutuel Arkéa,EUR,05.10.2023,"0,875%",FR0013370137
Aéroports de Paris S.A.,EUR,11.10.2038,"2,125%",FR0013371549
Société du Grand Paris,EUR,22.10.2028,"1,125%",FR0013372299
Agence Française de Développement,EUR,31.10.2034,"1,500%",FR0013373065
Carrefour S.A.,EUR,04.05.2026,"1,750%",FR0013383213
Veolia Environnement S.A.,EUR,07.01.2030,"1,940%",FR0013385473
Edenred S.A.,EUR,06.03.2026,"1,875%",FR0013385655
Banque Fédérative du Crédit Mutuel S.A. [BFCM],EUR,15.06.2023,"0,750%",FR0013386539
RCI Banque S.A.,EUR,11.07.2024,"2,000%",FR0013393774
Veolia Environnement S.A.,EUR,14.01.2024,"0,892%",FR0013394681
Société Générale S.A.,EUR,14.01.2021,"0,116%",FR0013394699
Orange S.A.,EUR,15.01.2022,"0,500%",FR0013396496
Orange S.A.,EUR,15.07.2024,"1,125%",FR0013396512
Orange S.A.,EUR,15.01.2029,"2,000%",FR0013396520
Orange S.A.,GBP,15.01.2032,"3,250%",FR0013396538
ACCOR S.A.,EUR,04.02.2026,"1,750%",FR0013399029
Société Générale S.A.,EUR,15.02.2024,"1,250%",FR0013403441
"Frankreich, Republik",EUR,25.05.2050,"1,500%",FR0013404969
LVMH Moët Hennessy Louis Vuitton SE,EUR,28.02.2023,"0,125%",FR0013405347
Société du Grand Paris,EUR,25.05.2034,"1,125%",FR0013409612
"Frankreich, Republik",EUR,01.03.2029,"0,100%",FR0013410552
Société Générale S.A.,EUR,22.03.2029,"1,750%",FR0013410818
RCI Banque S.A.,EUR,10.04.2023,"0,750%",FR0013412699
RCI Banque S.A.,EUR,10.04.2026,"1,750%",FR0013412707
Orano,EUR,23.04.2026,"3,375%",FR0013414919
La Banque Postale,EUR,24.04.2029,"1,375%",FR0013415692
Auchan Holding S.A.,EUR,25.04.2025,"2,375%",FR0013416146
BNP Paribas S.A.,EUR,28.05.2029,"1,375%",FR0013422011
Vivendi S.A.,EUR,13.06.2022,"0,000%",FR0013424850
Vivendi S.A.,EUR,11.06.2025,"0,625%",FR0013424868
Vivendi S.A.,EUR,11.12.2028,"1,125%",FR0013424876
Aéroports de Paris S.A.,EUR,18.06.2034,"1,125%",FR0013426368
Spie S.A.,EUR,18.06.2026,"2,625%",FR0013426376
Caisse des Dépôts et Consignations,EUR,19.06.2024,"0,000%",FR0013426426
Air Liquide Finance,EUR,20.06.2030,"0,625%",FR0013428067
Renault S.A.,EUR,24.06.2025,"1,250%",FR0013428414
Engie S.A.,EUR,21.06.2027,"0,375%",FR0013428489
Engie S.A.,EUR,21.06.2039,"1,375%",FR0013428513
Legrand S.A.,EUR,24.06.2028,"0,625%",FR0013428943
BPCE S.A.,EUR,26.09.2024,"0,625%",FR0013429073
Société Générale S.A.,EUR,01.07.2026,"0,875%",FR0013430733
Klépierre S.A.,EUR,01.07.2030,"0,625%",FR0013430741
BNP Paribas S.A.,EUR,02.07.2031,"1,625%",FR0013431277
Banque Fédérative du Crédit Mutuel S.A. [BFCM],EUR,05.02.2024,"0,125%",FR0013432770
Arkéa Home Loans SFH S.A.,EUR,12.07.2029,"0,125%",FR0013433281
La Banque Postale,EUR,12.07.2026,"0,250%",FR0013433596
Société Générale SFH S.A.,EUR,18.07.2029,"0,125%",FR0013434321
BNP Paribas S.A.,EUR,15.07.2025,"0,500%",FR0013434776
Dassault Systemes SE,EUR,16.09.2022,"0,000%",FR0013444502
Dassault Systemes SE,EUR,16.09.2024,"0,000%",FR0013444536
