Unnamed: 0,Identifier,ISIN,Frequency,Seniority,Issuer,Maturity,Currency,Ins_type,Coupon,Spread
392.0,US12625GAG91,US12625GAG91,Semi Annually,Senior Unsecured,CNOOC Finance 2013 Ltd,30-Sep-49,USD,USD,3.3,-
393.0,USY708CHAA88,USY708CHAA88,Semi Annually,Senior Unsecured,ABM Investama Tbk PT,1-Aug-22,USD,USD,7.125,-
394.0,XS0972980097,XS0972980097,Semi Annually,Senior Unsecured,China Overseas Finance Cayman III Ltd,29-Oct-23,USD,USD,5.375,-
395.0,XS1423777215,XS1423777215,Annually,Subordinated,Argentum Netherlands BV for Swiss Re Ltd,15-Aug-52,USD,USD,5.625,Fixed (5.625%) to Float (US 3M + 3.593%; payable qrtrly)<br>Reset Date = 15 August 2027
396.0,XS2125172085,XS2125172085,Semi Annually,Secured,Easy Tactic Ltd,5-Mar-24,USD,USD,8.625,-
397.0,LW1439220,SG31B4000005,Semi Annually,Junior Subordinated,Hyflux Ltd,Perpetual,SGD,SGD,6.0,Reset Rate= 4Y SGD SOR + Initial Margin (4.2%) + Step-up (2%)<br>Reset Date=27May2020 &amp; every 4y thereafter
398.0,XS1578089234,XS1578089234,Semi Annually,Senior Unsecured,CIMB Bank Bhd,15-Mar-22,USD,USD,3.263,-
399.0,US74913GAX34,US74913GAX34,Semi Annually,Senior Unsecured,Qwest Corp,1-Dec-21,USD,USD,6.75,-
400.0,XS1617128928,XS1617128928,Semi Annually,Senior Unsecured,Sun Hung Kai Properties Capital Market Ltd,Perpetual,USD,USD,4.45,-
401.0,XS1432392097,XS1432392097,Semi Annually,Mezzanine,Astrea III Pte. Ltd.,8-Jul-26,USD,USD,9.25,-
402.0,HK0000329265,HK0000329265,Quarterly,Senior Unsecured,Swire Properties MTN Financing Ltd,22-Feb-24,HKD,HKD,2.95,-
403.0,ZS0947888,XS1982112812,Semi Annually,Senior Unsecured,Saudi Arabian Oil Co,16-Apr-24,USD,USD,2.875,-
404.0,XS1206978543,XS1206978543,Semi Annually,Subordinated,Australia &amp; New Zealand Banking Group Ltd,23-Mar-27,SGD,SGD,3.75,Reset to 5Y SGD Swap + Initial Spread (1.372%) <br>Reset Date = 23 March 2022
405.0,XS2123967452,XS2123967452,Semi Annually,First Lien,China Aoyuan Group Ltd,18-Feb-21,USD,USD,4.8,-
406.0,XS1596794971,XS1596794971,Semi Annually,Senior Unsecured,Huarong Finance 2017 Co Ltd,27-Apr-22,USD,USD,3.75,-
407.0,XS1602480334,XS1602480334,Semi Annually,First Lien,Times China Holdings Ltd,26-Apr-22,USD,USD,5.75,-
408.0,XS2106834372,XS2106834372,Semi Annually,Secured,China Evergrande Group,22-Jan-24,USD,USD,12.0,-
409.0,XS2031332195,XS2031332195,Semi Annually,Senior Unsecured,Hanhui International Ltd,22-Aug-22,USD,USD,4.37,-
410.0,AZ5939162,SGXF48097749,Semi Annually,Junior Subordinated,United Overseas Bank Ltd,Perpetual,SGD,SGD,3.58,Reset Date: 17 Jul 2026 and every 7 years thereafter <br> Reset Rate: Prevailing 7-year SGD Swap Offer Rate + the Initial Spread (1.795%)
411.0,XS0906085179,XS0906085179,Semi Annually,Senior Unsecured,1MDB Global Investments Ltd,9-Mar-23,USD,USD,4.4,-
412.0,US6325C1CK33,US6325C1CK33,Quarterly,Senior Unsecured,National Australia Bank Ltd,10-Jan-22,USD,USD,2.201,QUARTLY US LIBOR +89.0000
413.0,AU3CB0249357,AU3CB0249357,Semi Annually,Senior Unsecured,Macquarie Group Ltd,15-Dec-27,AUD,AUD,4.15,-
414.0,XS1793296465,XS1793296465,Annually,Senior Unsecured,Trafigura Funding SA,19-Mar-23,USD,USD,5.25,-
415.0,XS1646912250,XS1646912250,Semi Annually,Senior Unsecured,Gemdale Ever Prosperity Investment Ltd,26-Jul-22,USD,USD,4.95,-
416.0,SG7Y18963686,SG7Y18963686,Semi Annually,Senior Unsecured,Land Transport Authority of Singapore,29-Oct-25,SGD,SGD,3.275,-
417.0,XS0487165390,XS0487165390,Annually,Senior Unsecured,Australia &amp; New Zealand Banking Group Ltd,12-Feb-25,SGD,SGD,4.0,-
418.0,US74348TAJ16,US74348TAJ16,Semi Annually,Senior Unsecured,Prospect Capital Corp,15-Mar-23,USD,USD,5.875,-
419.0,XS1865437930,XS1865437930,Semi Annually,Senior Unsecured,SingTel Group Treasury Pte Ltd,28-Aug-28,USD,USD,3.875,-
420.0,XS1090889947,XS1090889947,Semi Annually,Senior Unsecured,ABJA Investment Co Pte Ltd,31-Jul-24,USD,USD,5.95,-
421.0,XS2012984154,XS2012984154,Semi Annually,Senior Unsecured,Shanghai Port Group BVI Development Co Ltd,18-Jun-29,USD,USD,3.375,-
422.0,XS1991398352,XS1991398352,Semi Annually,Senior Unsecured,CAR Inc,10-May-22,USD,USD,8.875,-
423.0,XS2068114987,XS2068114987,Annually,Senior Unsecured,First Abu Dhabi Bank PJSC,23-Oct-24,CNH,CNH,3.22,-
424.0,XS1747539465,XS1747539465,Semi Annually,Senior Unsecured,Lai Fung Bonds 2018 Ltd,18-Jan-23,USD,USD,5.65,-
425.0,XS1498418224,XS1498418224,Semi Annually,Secured,Fantasia Holdings Group Co Ltd,4-Oct-21,USD,USD,7.375,-
426.0,XS2006258540,XS2006258540,Semi Annually,Secured,Astrea V Pte Ltd,20-Jun-29,USD,USD,4.5,-
427.0,MYBML1400035,MYBML1400035,Semi Annually,Senior Unsecured,Malaysia Government Bond,30-Sep-21,MYR,MYR,4.048,-
428.0,US606822AL88,US606822AL88,Semi Annually,Senior Unsecured,Mitsubishi UFJ Financial Group Inc,22-Feb-22,USD,USD,2.998,-
429.0,NZ13100V,SG3261987691,Semi Annually,Senior Unsecured,Singapore Government,1-Sep-33,SGD,SGD,3.375,-
430.0,USG5975LAC03,USG5975LAC03,Semi Annually,Senior Unsecured,Melco Resorts Finance Ltd,26-Apr-26,USD,USD,5.25,-
431.0,SG55G7992081,SG55G7992081,Semi Annually,Senior Unsecured,ABJA Investment Co Pte Ltd,3-May-23,SGD,SGD,4.95,-
432.0,XS1237835498,XS1237835498,Annually,Senior Unsecured,JPMorgan Chase &amp; Co,10-Nov-35,SGD,SGD,3.95,-
433.0,MYBVI1502514,MYBVI1502514,Semi Annually,Senior Unsecured,Bandar Serai Development Sdn Bhd,27-Oct-20,MYR,MYR,4.78,-
434.0,XS1718488064,XS1718488064,Semi Annually,First Lien,Xinyuan Real Estate Co Ltd,22-Nov-20,USD,USD,8.875,-
435.0,XS1756056229,XS1756056229,Semi Annually,Senior Unsecured,Yes Bank Ifsc Banking Unit Branch,6-Feb-23,USD,USD,3.75,-
436.0,XS2186093766,XS2186093766,Semi Annually,Senior Unsecured,China Mengniu Dairy Company Limited,17-Jun-25,USD,USD,1.875,-
437.0,USY7140WAA63,USY7140WAA63,Semi Annually,Senior Unsecured,Indonesia Asahan Aluminium Persero PT,15-Nov-21,USD,USD,5.23,-
438.0,XS1422840733,XS1422840733,Semi Annually,Senior Unsecured,CCBL Cayman 1 Corp Ltd,31-May-21,USD,USD,2.75,-
439.0,XS2102867483,XS2102867483,Semi Annually,Senior Unsecured,New Metro Global Ltd,5-Aug-23,USD,USD,6.8,-
440.0,HK0000579059,HK0000579059,Semi Annually,Senior Unsecured,Bank of China Ltd/Macau,5-Mar-22,HKD,HKD,1.95,-
441.0,AR6907786,XS1791439257,Semi Annually,Senior Unsecured,REC Ltd,22-Mar-28,USD,USD,4.625,-
442.0,XS1371532208,XS1371532208,Semi Annually,Senior Unsecured,Bank of China Ltd/Hong Kong,1-Mar-21,USD,USD,2.375,-
443.0,XS1958658509,XS1958658509,Semi Annually,Senior Unsecured,Jubilant Pharma Ltd/SG,5-Mar-24,USD,USD,6.0,-
444.0,US88032XAT19,US88032XAT19,Semi Annually,Senior Unsecured,Tencent Holdings Limited,26-Jan-26,USD,USD,1.81,-
445.0,XS1165130219,XS1165130219,Semi Annually,Senior Unsecured,Export-Import Bank of India,12-Aug-20,USD,USD,2.75,-
446.0,XS1506401568,XS1506401568,Semi Annually,Subordinated,Commonwealth Bank of Australia,20-Oct-26,USD,USD,3.375,Fixed (3.375%) to Float (3mL + 2.094%; payable quarterly)
447.0,AW9634964,SGXF75619605,Semi Annually,Senior Unsecured,Suntec REIT MTN Pte Ltd,7-Feb-25,SGD,SGD,3.355,-
448.0,XS1431266847,XS1431266847,Semi Annually,Senior Unsecured,CITIC Ltd,14-Dec-21,USD,USD,2.8,-
449.0,XS1941840859,XS1941840859,Semi Annually,Senior Unsecured,Yankuang Group Cayman Ltd,30-Jan-22,USD,USD,6.0,-
450.0,AU000WBCHBM2,AU000WBCHBM2,Semi Annually,Senior Unsecured,Westpac Banking Corp,28-Oct-20,AUD,AUD,3.25,-
451.0,XS1953949549,XS1953949549,Semi Annually,Senior Unsecured,Guotai Junan Holdings Ltd,11-Mar-22,USD,USD,3.875,-
452.0,SG6W25985089,SG6W25985089,Semi Annually,Senior Unsecured,Housing &amp; Development Board,30-Aug-22,SGD,SGD,2.088,-
453.0,LW5286577,SG73F1000001,Semi Annually,Senior Unsecured,Fullerton Healthcare Corp Ltd,7-Jul-21,SGD,SGD,2.45,-
454.0,XS1422334448,XS1422334448,Semi Annually,Senior Unsecured,China Development Bank,1-Jun-26,USD,USD,3.0,-
455.0,SG7CF9000009,SG7CF9000009,Semi Annually,Senior Unsecured,National University of Singapore,2-Jun-22,SGD,SGD,1.855,-
456.0,SG74G4000004,SG74G4000004,Semi Annually,Senior Unsecured,Housing &amp; Development Board,16-Sep-26,SGD,SGD,2.035,-
457.0,US59151KAG31,US59151KAG31,Semi Annually,Senior Unsecured,Methanex Corp,1-Mar-22,USD,USD,5.25,-
458.0,XS2066867826,XS2066867826,Semi Annually,Senior Unsecured,Sepco Virgin Ltd,Perpetual,USD,USD,3.55,Reset Date: 25 Oct 2024 and every 5 years thereafter<br> Reset Rate: Prevailing 5-year U.S. Treasury Rate + a fixed initial spread (1.946%) + one-time step-up of 300bps
459.0,XS1810679180,XS1810679180,Semi Annually,Senior Unsecured,MCC Holding Hong Kong Corp Ltd,Perpetual,USD,USD,4.95,Reset Date = 02May2021 and every 3 years thereafter <br> Reset Rate = Prevailing 3-year US Treasury rate + Initial Spread (2.331%) + 500bps step-up
460.0,XS1900582476,XS1900582476,Semi Annually,Senior Unsecured,SD International Sukuk Limited,9-May-22,USD,USD,6.3,-
461.0,XS1662453544,XS1662453544,Semi Annually,Senior Unsecured,China Huiyuan Juice Group Ltd,16-Aug-20,USD,USD,6.5,-
462.0,XS2025977427,XS2025977427,Annually,Senior Unsecured,BOC Aviation Ltd,11-Jul-29,AUD,AUD,3.15,-
463.0,XS1288367649,XS1288367649,Quarterly,Secured,China Car Funding Investment 2015,22-Sep-20,USD,USD,2.006,Quarterly US LIBOR + 170 bps
464.0,QJ4956109,HK0000272549,Quarterly,Unsecured,Swire Properties MTN Financing Ltd,6-Nov-25,HKD,HKD,3.0,-
465.0,XS2141151824,XS2141151824,Semi Annually,Senior Unsecured,Jiayuan International Group Limited,23-Jun-21,USD,USD,11.75,-
466.0,XS1572172754,XS1572172754,Semi Annually,Subordinated,Commerzbank AG,1-Mar-27,SGD,SGD,4.875,Reset Rate: 5Y SGD SOR + initial spread (2.710%) <br> Reset Date: 01 March 2022 (one-time reset on Year 5)
467.0,XS2098347821,XS2098347821,Semi Annually,Senior Unsecured,Gemstones International Ltd,10-Mar-23,USD,USD,12.0,-
468.0,MYBUS1800851,MYBUS1800851,Semi Annually,Senior Unsecured,GENM Capital Bhd,11-Jul-33,MYR,MYR,5.58,-
469.0,USY4841KYV97,USY4841KYV97,Semi Annually,Secured,Korea Housing Finance Corp,15-Nov-20,USD,USD,2.5,-
470.0,XS1688416558,XS1688416558,Semi Annually,Senior Unsecured,SP PowerAssets Ltd,26-Sep-27,USD,USD,3.0,-
471.0,AW8736612,SGXF43834302,Semi Annually,Senior Unsecured,ESR Cayman Ltd,1-Feb-22,SGD,SGD,6.75,-
472.0,AU6326246,SGXF92536923,Semi Annually,Senior Unsecured,Lum Chang Holdings Ltd,27-Sep-21,SGD,SGD,5.8,-
473.0,AX3064588,XS1954961295,Semi Annually,Senior Unsecured,Logan Property Holdings Co Ltd,25-Aug-22,USD,USD,7.5,-
474.0,USG2176WAB21,USG2176WAB21,Semi Annually,Senior Unsecured,CK Hutchison International 16 Ltd,3-Oct-26,USD,USD,2.75,-
475.0,XS1574820921,XS1574820921,Semi Annually,Senior Unsecured,CALC Bond 3 Ltd,8-Mar-22,USD,USD,4.7,-
476.0,USG5002FAM89,USG5002FAM89,Semi Annually,Senior Unsecured,Jaguar Land Rover Automotive PLC,1-Oct-27,USD,USD,4.5,-
477.0,AU6152840,SGXF62469840,Semi Annually,Subordinated,Soilbuild Business Space REIT,Perpetual,SGD,SGD,6.0,Reset Date: 27 Sep 2021 and every 3 years thereafter <br> Reset Rate: Prevailing 3Y SOR + Initial Spread (3.790%)
478.0,AM1361303,SG78A5000007,Semi Annually,Subordinated,Mapletree Treasury Services Ltd,Perpetual,SGD,SGD,4.5,Reset Date = 19 Jan 2027 and every 10 years thereafter<br> Reset Rate = 10Yr SGD SOR + Initial credit spread (1.865%) + 1% Step-up 
479.0,USG84228CX43,USG84228CX43,Semi Annually,Junior Subordinated,Standard Chartered PLC,Perpetual,USD,USD,7.75,Reset Date = 02 April 2023 &amp; every 5 years thereafter <br> Reset Rate = US$ mid swap rate + 5.723%
480.0,XS1037253645,XS1037253645,Semi Annually,Senior Unsecured,NWD MTN Ltd,26-Feb-21,USD,USD,5.25,-
481.0,USN4717BAD84,USN4717BAD84,Semi Annually,Senior Unsecured,Jababeka International BV,5-Oct-23,USD,USD,6.5,-
482.0,XS1701582881,XS1701582881,Semi Annually,Senior Unsecured,Jiangsu Nantong Sanjian International Co Ltd,26-Oct-20,USD,USD,7.8,-
483.0,XS1907273350,XS1907273350,Semi Annually,Senior Unsecured,Bank of China Ltd/Hong Kong,20-Nov-21,CNH,CNH,4.45,-
484.0,XS0893206747,XS0893206747,Semi Annually,Senior Unsecured,CITIC Telecom International Finance Ltd,5-Mar-25,USD,USD,6.1,-
485.0,AU3CB0227635,AU3CB0227635,Semi Annually,Secured,ConnectEast Finance Pty Ltd,25-Feb-22,AUD,AUD,4.25,-
486.0,XS1863334030,XS1863334030,Semi Annually,Senior Unsecured,Huafa Group 2018 I Co Ltd,7-Sep-21,USD,USD,5.4,-
487.0,XS1840467762,XS1840467762,Quarterly,Senior Unsecured,Greenland Global Investment Ltd,26-Sep-21,USD,USD,5.1339999999999995,QUARTLY US LIBOR +485.0000
488.0,SGXF73912119,SGXF73912119,Semi Annually,Secured,Astrea IV Pte Ltd,14-Jun-28,USD,USD,5.5,-
489.0,USP7807HAM71,USP7807HAM71,Semi Annually,Senior Unsecured,Petroleos de Venezuela SA,17-Feb-22,USD,USD,12.75,-
490.0,XS1309437215,XS1309437215,Annually,Junior Subordinated,BHP Billiton Finance Ltd,22-Oct-77,GBP,GBP,6.5,-
491.0,HK0000206166,HK0000206166,Semi Annually,Senior Unsecured,CITIC Ltd,25-Jul-24,HKD,HKD,4.35,-
492.0,AU6975844,SGXF27086499,Semi Annually,Senior Unsecured,Surbana Jurong Pte Ltd,3-Oct-25,SGD,SGD,4.11,-
493.0,SG6T34979540,SG6T34979540,Semi Annually,Senior Unsecured,Singapore Post Ltd,Perpetual,SGD,SGD,4.25,Reset Date = 02 March 2022 and every 10 years thereafter<br> Reset Rate = 10Y SOR + Initial Spread (2.192%) + the Step-Up Margin (1.50%)
494.0,MYBVN1800793,MYBVN1800793,Semi Annually,Subordinated,AmBank Islamic Bhd,23-Feb-28,MYR,MYR,5.23,-
495.0,XS0521073428,XS0521073428,Semi Annually,Subordinated,Bank of East Asia Ltd,16-Jul-20,USD,USD,6.125,-
496.0,XS2042630355,XS2042630355,Semi Annually,Senior Unsecured,China Industrial Securities International Financial Group Ltd,28-Aug-20,USD,USD,5.0,-
497.0,XS1924249680,XS1924249680,Semi Annually,Secured,Fantasia Holdings Group Co Ltd,18-Dec-21,USD,USD,15.0,-
498.0,XS1863324585,XS1863324585,Annually,Senior Unsecured,Westpac Banking Corp,8-Aug-33,AUD,AUD,4.04,-
499.0,USG01719AE63,USG01719AE63,Semi Annually,Senior Unsecured,Alibaba Group Holding Ltd,28-Nov-24,USD,USD,3.6,-
500.0,MYBGN1100252,MYBGN1100252,Semi Annually,Senior Unsecured,Malaysia Government Investment Issue,30-Apr-21,MYR,MYR,4.17,-
501.0,QZ6603125,XS1494426932,Semi Annually,Senior Unsecured,RHB Bank Bhd,6-Oct-21,USD,USD,2.503,-
502.0,USY9384RAA87,USY9384RAA87,Semi Annually,Senior Unsecured,Vietnam Government International Bond,19-Nov-24,USD,USD,4.8,-
503.0,XS1492713505,XS1492713505,Semi Annually,Junior Subordinated,State Bank of India/Dubai,Perpetual,USD,USD,5.5,Reset Rate = Year 2022 &amp; every 5Y thereafter <br>Reset Date = 5Y US Treasury Rate + Margin
504.0,US780099CK11,US780099CK11,Quarterly,Junior Subordinated,Royal Bank of Scotland Group PLC,Perpetual,USD,USD,8.0,Reset Date: 10Aug2025 and every 5 years thereafter<br> Reset Rate: USD 5Y Swap + 5.720%
505.0,QJ4442720,SG6ZH4000003,Semi Annually,Senior Unsecured,Housing &amp; Development Board,3-Nov-20,SGD,SGD,2.1,-
506.0,XS1355044832,XS1355044832,Semi Annually,Senior Unsecured,Credit Suisse AG/London,31-Mar-21,SGD,SGD,2.75,SORF6M FLAT
507.0,XS1912613640,XS1912613640,Semi Annually,Secured,Noble Trading Hold Co Ltd,20-Dec-25,USD,USD,5.0,Reset Date: 20 Jun 2020 <br> Reset Rate:  9.75% per annum
508.0,MYBMY0500036,MYBMY0500036,Semi Annually,Senior Unsecured,Malaysia Government Bond,15-Jul-25,MYR,MYR,4.837,-
509.0,SG6VI0000004,SG6VI0000004,Semi Annually,Senior Unsecured,Mapletree North Asia Commercial Treasury Co HKSAR Ltd,9-Mar-22,SGD,SGD,3.43,-
510.0,XS2092236780,XS2092236780,Semi Annually,Senior Unsecured,BPHL Capital Management Ltd,27-Feb-23,USD,USD,5.95,-
511.0,MYBMS1300057,MYBMS1300057,Semi Annually,Senior Unsecured,Malaysia Government Bond,15-Jun-28,MYR,MYR,3.733,-
512.0,SG7P10937903,SG7P10937903,Semi Annually,Senior Unsecured,Public Utilities Board,12-Oct-27,SGD,SGD,3.62,-
513.0,XS1663477187,XS1663477187,Annually,Subordinated,Westpac Banking Corp,16-Aug-29,AUD,AUD,4.334,Reset Date = 16Aug2024 <br> Reset Rate = AUD 5Y SWAP + 1.830%
514.0,XS1685542141,XS1685542141,Semi Annually,Secured,KWG Group Holdings Ltd,21-Sep-22,USD,USD,5.2,-
515.0,XS1954740285,XS1954740285,Semi Annually,Secured,KWG Group Holdings Ltd,1-Sep-23,USD,USD,7.875,-
516.0,XS2198851482,XS2198851482,Semi Annually,First Lien,Times China Holdings Limited,8-Jul-25,USD,USD,6.75,-
517.0,USY59515AA72,USY59515AA72,Semi Annually,Senior Unsecured,Medco Straits Services Pte Ltd,17-Aug-22,USD,USD,8.5,-
518.0,NA20100F,SGXF27246101,Semi Annually,Senior Unsecured,Singapore Government,1-Mar-50,SGD,SGD,1.875,-
519.0,SG6PE4000001,SG6PE4000001,Semi Annually,Senior Unsecured,Singapore Airlines Ltd,8-Apr-24,SGD,SGD,3.75,-
520.0,MYBVL1403519,MYBVL1403519,Semi Annually,Senior Unsecured,WCT Holdings Bhd,21-Oct-22,MYR,MYR,5.05,-
521.0,XS1750991744,XS1750991744,Semi Annually,Senior Unsecured,Tahoe Group Global Co Ltd,17-Jan-23,USD,USD,8.125,-
522.0,XS2055636109,XS2055636109,Semi Annually,Senior Unsecured,HKT Capital No 5 Ltd,30-Sep-29,USD,USD,3.25,-
523.0,XS2081524675,XS2081524675,Semi Annually,Senior Unsecured,Agile Group Holdings Ltd,Perpetual,USD,USD,7.75,Reset Date: 25 May 2025 and every 5 years thereafter<br> Reset Rate: Prevailing US Treasury Benchmark Rate + initial spread (6.083%) + Step Up Margin (500bps)
524.0,XS1974522853,XS1974522853,Semi Annually,First Lien,Country Garden Holdings Company Limited,8-Apr-24,USD,USD,6.5,-
525.0,XS2027352405,XS2027352405,Annually,Senior Unsecured,Cerah Capital Ltd,8-Aug-24,USD,USD,0.0,-
526.0,US2027A1HW00,US2027A1HW00,Semi Annually,Senior Unsecured,Commonwealth Bank of Australia,6-Sep-21,USD,USD,2.0,-
527.0,XS1732146185,XS1732146185,Annually,Senior Unsecured,National Australia Bank Ltd,11-Dec-24,AUD,AUD,3.25,-
528.0,MYBVL1300434,MYBVL1300434,Semi Annually,Secured,Jati Cakerawala Sdn Bhd,31-Jul-20,MYR,MYR,4.86,-
529.0,ZS3816676,SGXF55503175,Semi Annually,Senior Unsecured,Keppel Corp Ltd,7-May-29,SGD,SGD,3.66,-
530.0,US718286BD89,US718286BD89,Semi Annually,Senior Unsecured,Philippine Government International Bond,15-Jan-32,USD,USD,6.375,-
531.0,XS1645113165,XS1645113165,Semi Annually,Senior Unsecured,Sinochem International Development Pte Ltd,25-Jul-22,USD,USD,3.125,-
532.0,US55616XAL10,US55616XAL10,Semi Annually,Senior Unsecured,Macy's Retail Holdings Inc,4-Jun-24,USD,USD,3.625,-
533.0,XS1081321595,XS1081321595,Semi Annually,Senior Unsecured,Greenland Global Investment Ltd,3-Jul-24,USD,USD,5.875,-
534.0,XS1355076362,XS1355076362,Annually,Senior Unsecured,Credit Suisse AG/London,16-Mar-36,SGD,SGD,4.43,-
535.0,XS1272206209,XS1272206209,Semi Annually,Senior Unsecured,Greentown China Holdings Ltd,11-Aug-20,USD,USD,5.875,-
536.0,XS1267602305,XS1267602305,Semi Annually,Senior Unsecured,COSL Singapore Capital Ltd,30-Jul-25,USD,USD,4.5,-
537.0,HK0000199148,HK0000199148,Quarterly,Senior Unsecured,Wharf Finance Ltd,14-May-24,HKD,HKD,4.1,-
538.0,SG73F4000008,SG73F4000008,Semi Annually,Senior Unsecured,CMT MTN Pte Ltd,7-Jul-31,SGD,SGD,3.35,-
539.0,AR9340787,HK0000410446,Quarterly,Senior Unsecured,MTR Corp CI Ltd,9-Apr-25,HKD,HKD,2.65,-
540.0,AU3CB0243566,AU3CB0243566,Semi Annually,Secured,WSO Finance Pty Ltd,31-Mar-27,AUD,AUD,4.5,-
541.0,XS0502917072,XS0502917072,Annually,Senior Unsecured,Westpac Banking Corp,15-Apr-25,SGD,SGD,4.11,-
542.0,USF2893TAM83,USF2893TAM83,Semi Annually,Junior Subordinated,Electricite de France SA,Perpetual,USD,USD,5.625,Reset Rate = 10Y USD Swap + Margin (3.041%) <br>Reset Date= 22Jan2024 &amp; every 10Y thereafter
543.0,AU3CB0237907,AU3CB0237907,Semi Annually,Senior Unsecured,Coca-Cola Co,11-Jun-24,AUD,AUD,3.25,-
544.0,XS2002235518,XS2002235518,Semi Annually,Secured,Kaisa Group Holdings Ltd,30-Jan-23,USD,USD,11.5,-
545.0,USY7083VAD11,USY7083VAD11,Semi Annually,Senior Unsecured,Power Sector Assets &amp; Liabilities Management Corp,2-Dec-24,USD,USD,7.39,-
546.0,AN8604406,SG7DD8000003,Semi Annually,Subordinated,StarHub Ltd,Perpetual,SGD,SGD,3.95,Reset Date: 16Jun2027 &amp; every 10 years thereafter <br>Reset Rate: 10Y SGD Swap Rate + Initial Spread (1.715%) + Step Up margin (100bps)
547.0,AX2129655,XS1945401674,Semi Annually,First Lien,Times China Holdings Ltd,21-Feb-22,USD,USD,7.625,-
548.0,XS1509084775,XS1509084775,Semi Annually,Senior Unsecured,MTR Corp CI Ltd,2-Nov-26,USD,USD,2.5,-
549.0,XS1449306064,XS1449306064,Semi Annually,Junior Subordinated,Industrial &amp; Commercial Bank of China Asia Ltd,Perpetual,USD,USD,4.25,Reset Date: 21 Jul 2016 and every 5 years thereafter<br> Reset Rate: 5Y UST + 3.135%
550.0,XS1805359939,XS1805359939,Semi Annually,First Lien,Powerlong Real Estate Holdings Ltd,17-Apr-21,USD,USD,6.95,-
551.0,XS1956169657,XS1956169657,Semi Annually,Secured,Easy Tactic Ltd,27-Feb-24,USD,USD,8.625,-
552.0,XS1881005976,XS1881005976,Semi Annually,Senior Unsecured,Jaguar Land Rover Automotive PLC,15-Jan-26,EUR,EUR,4.5,-
553.0,AU3CB0246239,AU3CB0246239,Semi Annually,Senior Unsecured,Verizon Communications Inc,17-Aug-27,AUD,AUD,4.5,-
554.0,FR0013414810,FR0013414810,Semi Annually,Junior Subordinated,Societe Generale SA,Perpetual,SGD,SGD,6.125,Reset Date: 16 Apr 2024 and every 5 Years thereafter<br> Reset Rate: Prevailing 5Y SGD SOR + Initial Margin (4.207%)
555.0,US06051GFP90,US06051GFP90,Semi Annually,Subordinated,Bank of America Corporation,21-Apr-25,USD,USD,3.95,-
556.0,XS1720930780,XS1720930780,Semi Annually,Subordinated,King Talent Management Ltd,Perpetual,USD,USD,5.6,Reset Date = 04 Dec 2022 and every 5 Years thereafter<br> Reset Rate = 5-year US Treasury Rate plus Initial Spread (3.521%) Plus 5.00% step up on  if not called
557.0,XS1830129919,XS1830129919,Semi Annually,Secured,Bayfront Infrastructure Capital Pte. Ltd.,11-Jan-38,USD,USD,4.207,6M USD LIBOR +195bps (Reset Date: 11 January 2019)
558.0,US836205AS32,US836205AS32,Semi Annually,Senior Unsecured,Republic of South Africa Government International Bond,24-Jul-44,USD,USD,5.375,-
559.0,XS1207030211,XS1207030211,Annually,Senior Unsecured,New World China Land Ltd,30-Mar-22,HKD,HKD,4.75,-
560.0,USY97279AB28,USY97279AB28,Semi Annually,Senior Unsecured,Yancoal International Resources Development Co Ltd,16-May-22,USD,USD,5.73,-
561.0,HK0000343373,HK0000343373,Quarterly,Unsecured,Swire Properties MTN Financing Ltd,7-Jun-27,HKD,HKD,2.65,-
562.0,XS1911963848,XS1911963848,Semi Annually,Senior Unsecured,Tuspark Forward Ltd,7-Mar-21,USD,USD,7.9,-
563.0,XS1645684587,XS1645684587,Semi Annually,Senior Unsecured,China Great Wall International Holdings III Ltd,31-Aug-20,USD,USD,2.75,-
564.0,XS1772325210,XS1772325210,Semi Annually,Senior Unsecured,Logan Property Holdings Co Ltd,7-Mar-21,USD,USD,6.375,-
565.0,AU3CB0237972,AU3CB0237972,Semi Annually,Senior Unsecured,Fonterra Co-operative Group Ltd,16-Jun-26,AUD,AUD,3.75,-
566.0,AU3CB0239689,AU3CB0239689,Semi Annually,Subordinated,National Australia Bank Ltd,21-Sep-26,AUD,AUD,4.0,Reset Date: 21 Sep 2021Reset Rate: AUD 5Y Swap + 2.4%
567.0,MYBVP1800186,MYBVP1800186,Semi Annually,First Lien,Edra Energy Sdn Bhd,4-Jan-30,MYR,MYR,6.09,-
568.0,XS1919324399,XS1919324399,Semi Annually,Senior Unsecured,Shaoxing City Investment Group Ltd,18-Dec-21,USD,USD,5.875,-
569.0,US961214EG45,US961214EG45,Semi Annually,Subordinated,Westpac Banking Corp,24-Jul-39,USD,USD,4.421,-
570.0,XS0841191991,XS0841191991,Semi Annually,Senior Unsecured,LS Finance 2022 Ltd,16-Oct-22,USD,USD,4.25,-
571.0,AN2482916,SG7AH2000006,Semi Annually,Senior Unsecured,F&amp;N Treasury Pte Ltd,21-Apr-27,SGD,SGD,3.8,-
572.0,MYBVK1403537,MYBVK1403537,Semi Annually,Senior Unsecured,First Resources Ltd,27-Oct-21,MYR,MYR,4.85,-
573.0,XS0875871690,XS0875871690,Semi Annually,Senior Unsecured,Champion MTN Ltd,17-Jan-23,USD,USD,3.75,-
