Identifier,ISIN,Name,Issuer,Currency,Frequency,Ins_Type,Last_Trading_Day
XS1757377400,XS1757377400,"1,625% Alliander NV",Alliander NV,Euro,,Fixed,-
US931427AF53,US931427AF53,"3,3% Walgreens Boots Alliance Inc. (2021)",Walgreens Boots Alliance Inc.,US Dollar,annually,Fixed,18/11/2021
XS1376614118,XS1376614118,"1,375% Unibail-Rodamco-Westfield  SE (2026)",Unibail-Rodamco-Westfield  SE,Euro,,Fixed,9/3/2026
USF2893TAM83,USF2893TAM83,"5,625% Electricite de France",Electricite de France,US Dollar,annually,Fixed,-
XS1814787054,XS1814787054,"6,5% Sunshine Mid B.V (2026)",Sunshine Mid B.V,Euro,annually,Fixed,16/05/2026
XS1910948675,XS1910948675,"4,125% Volkswagen International Finance (2038)",Volkswagen International Finance,Euro,annually,Fixed,16/11/2038
XS2001315766,XS2001315766,"1,375% EURONET WORLDWIDE, INC. (2026)","EURONET WORLDWIDE, INC.",Euro,annually,Fixed,22/05/2026
USU09513HG74,USU09513HG74,VAR BMW US Capital LLC (2021),BMW US Capital LLC,US Dollar,annually,Floating Rate Note,12/4/2021
DE000NWB0618,DE000NWB0618,"0,25% NRW.Bank (2024)",NRW.Bank,Euro,,Fixed,16/05/2024
XS2105097393,XS2105097393,"1,25% Zypern, Republik (2040)","Zypern, Republik",Euro,,Fixed,21/01/2040
XS0232778083,XS0232778083,"3,5% ÖBB-Infrastruktur Bau AG (2020)",ÖBB-Infrastruktur Bau AG,Euro,annually,Fixed,19/10/2020
US53944YAG89,US53944YAG89,VAR Lloyds Bank PLC (2021),Lloyds Bank PLC,US Dollar,annually,Floating Rate Note,21/06/2021
US247361ZN12,US247361ZN12,"4,375% Delta Air Lines Inc. (2028)",Delta Air Lines Inc.,US Dollar,,Fixed,19/04/2028
US045167EN94,US045167EN94,"1,875% Asian Development Bank (2022)",Asian Development Bank,US Dollar,,Fixed,19/07/2022
DE000HLB2E40,DE000HLB2E40,VAR Landesbank Hessen-Thüringen Girozentrale (2031),Landesbank Hessen-Thüringen Girozentrale,Euro,,Floating Rate Note,10/2/2031
DE000LB06E53,DE000LB06E53,VAR Landesbank Baden-Württemberg (2022),Landesbank Baden-Württemberg,Euro,,Floating Rate Note,13/07/2022
US90265EAQ35,US90265EAQ35,"3,2% UDR Inc. (2030)",UDR Inc.,US Dollar,,Fixed,15/01/2030
DE000BLB28D3,DE000BLB28D3,"0,75% Bayerische Landesbank (2025)",Bayerische Landesbank,Euro,annually,Fixed,11/2/2025
DE000LB06F78,DE000LB06F78,VAR Landesbank Baden-Württemberg (2021),Landesbank Baden-Württemberg,Euro,,Floating Rate Note,12/1/2021
XS1731858715,XS1731858715,"2,125% Adler Real Estate AG (2024)",Adler Real Estate AG,Euro,,Fixed,6/2/2024
XS1974394758,XS1974394758,"2,875% Mexiko, Vereinigte Staaten (2039)","Mexiko, Vereinigte Staaten",Euro,annually,Fixed,8/4/2039
XS1250034276,XS1250034276,"2,15% Thermo Fisher Scientific Inc. (2022)",Thermo Fisher Scientific Inc.,Euro,annually,Fixed,21/07/2022
DE000A1R06M4,DE000A1R06M4,2 % Landesschatzanw.  Ausgabe 401,"Berlin, Land",Euro,quarterly,Floating Rate Note,20/02/2023
XS1203859415,XS1203859415,1% Enagás Financiaciones S.A.U. (2023),Enagás Financiaciones S.A.U.,Euro,,Fixed,25/03/2023
US695156AT63,US695156AT63,"3,4% Packaging Corp. of America (2027)",Packaging Corp. of America,US Dollar,annually,Fixed,15/12/2027
ES0413900608,ES0413900608,"0,1% Banco Santander S.A. (2032)",Banco Santander S.A.,Euro,annually,Fixed,27/02/2032
XS1718495515,XS1718495515,"2,25% Kommunekredit (2022)",Kommunekredit,US Dollar,,Fixed,16/11/2022
FR0012861821,FR0012861821,"1,5% Aéroports de Paris S.A. (2023)",Aéroports de Paris S.A.,Euro,,Fixed,24/07/2023
DE000A28RSQ8,DE000A28RSQ8,0% Allianz Finance II B.V. (2025),Allianz Finance II B.V.,Euro,annually,Fixed,14/01/2025
US29364GAK94,US29364GAK94,"3,75% Entergy Corp. (2050)",Entergy Corp.,US Dollar,annually,Fixed,15/06/2050
US369550BK32,US369550BK32,"3,25% General Dynamics Corp. (2025)",General Dynamics Corp.,US Dollar,annually,Fixed,1/4/2025
US74251VAL62,US74251VAL62,"4,7% Principal Financial Group Inc. (2055)",Principal Financial Group Inc.,US Dollar,,Fixed,15/05/2055
CH0362748359,CH0362748359,"0,375% Swisscom AG (2027)",Swisscom AG,Schweizer Franken,,Fixed,31/05/2027
DE000CZ40NG4,DE000CZ40NG4,"1,25% COMMERZBANK Aktiengesellschaft (2023)",COMMERZBANK Aktiengesellschaft,Euro,annually,Fixed,23/10/2023
USU74079AQ46,USU74079AQ46,"4,875% Netflix Inc. (2030)",Netflix Inc.,US Dollar,annually,Fixed,15/06/2030
DE000LB1DU26,DE000LB1DU26,1% Landesbank Baden-Württemberg (2024),Landesbank Baden-Württemberg,Euro,annually,Fixed,15/07/2024
US471048BM91,US471048BM91,"2,875% Japan Bank for International Cooperation (2027)",Japan Bank for International Cooperation,US Dollar,annually,Fixed,21/07/2027
USQ8940FAA23,USQ8940FAA23,"3,125% Telstra Corp. Ltd. (2025)",Telstra Corp. Ltd.,US Dollar,,Fixed,7/4/2025
XS1592282740,XS1592282740,"3,25% ELM B.V. (2024)",ELM B.V.,Euro,annually,Fixed,13/06/2024
US26441CAY12,US26441CAY12,"3,95% Duke Energy Corp. (2047)",Duke Energy Corp.,US Dollar,,Fixed,15/08/2047
CA68323ABN33,CA68323ABN33,"2,85% Ontario, Provinz (2023)","Ontario, Provinz",Kanadischer Dollar,,Fixed,2/6/2023
US14913Q2G39,US14913Q2G39,"2,9% Caterpillar Financial Services Corp. (2021)",Caterpillar Financial Services Corp.,US Dollar,,Fixed,15/03/2021
DE000HLB11H7,DE000HLB11H7,VAR Landesbank Hessen-Thüringen Girozentrale (2030),Landesbank Hessen-Thüringen Girozentrale,Euro,,Floating Rate Note,25/03/2030
XS1801905628,XS1801905628,"1,598% Mizuho Financial Group Inc (2028)",Mizuho Financial Group Inc,Euro,annually,Fixed,10/4/2028
US98978VAM54,US98978VAM54,"3,95% Zoetis Inc. (2047)",Zoetis Inc.,US Dollar,,Fixed,12/9/2047
US298785GL42,US298785GL42,"2,5% European Investment Bank (2021)",European Investment Bank,US Dollar,annually,Fixed,15/04/2021
US61747WAF68,US61747WAF68,"5,75% Morgan Stanley (2021)",Morgan Stanley,US Dollar,annually,Fixed,25/01/2021
XS1327550783,XS1327550783,"9,25% European Bank for Reconstruction and Development (2020)",European Bank for Reconstruction and Development,Indonesische Rupiah,,Fixed,2/12/2020
PTPETFOM0009,PTPETFOM0009,"4,2% PARPÚBLICA  S.G.P.S. S.A. (2026)",PARPÚBLICA  S.G.P.S. S.A.,Euro,annually,Fixed,16/11/2026
XS1197832915,XS1197832915,"0,75% Coca-Cola Co., The (2023)","Coca-Cola Co., The",Euro,,Fixed,9/3/2023
XS0988014212,XS0988014212,"2,125% TenneT Holding B.V. (2020)",TenneT Holding B.V.,Euro,annually,Fixed,1/11/2020
GR0133008210,GR0133008210,"STUFZ Griechenland, Republik (2030)","Griechenland, Republik",Euro,annually,Stufenzins,24/02/2030
US626717AD43,US626717AD43,4% MURPHY OIL CORP (2022),MURPHY OIL CORP,US Dollar,,Fixed,1/6/2022
DE000CZ40MB7,DE000CZ40MB7,"0,625% COMMERZBANK Aktiengesellschaft (2027)",COMMERZBANK Aktiengesellschaft,Euro,,Fixed,24/08/2027
XS1327430531,XS1327430531,"2,375% BMW Finance N.V. (2021)",BMW Finance N.V.,Britische Pfund,,Fixed,1/12/2021
XS1869468808,XS1869468808,"0,5% EIKA BOLIGKREDITT AS (2025)",EIKA BOLIGKREDITT AS,Euro,,Fixed,28/08/2025
XS1784071042,XS1784071042,"1,375% Nordea Kiinnitysluottopankki Oyj (2033)",Nordea Kiinnitysluottopankki Oyj,Euro,,Fixed,28/02/2033
IT0005366007,IT0005366007,"1% Italien, Republik (2022)","Italien, Republik",Euro,annually,Fixed,15/07/2022
CH0362748367,CH0362748367,"3,5% Proman Holding AG (2022)",Proman Holding AG,Schweizer Franken,,Fixed,31/05/2022
FR0013421815,FR0013421815,1% Credit Agricole S.A. (2029),Credit Agricole S.A.,Euro,annually,Fixed,3/7/2029
DE000A1685X6,DE000A1685X6,"1,2% Hamburg, Freie und Hansestadt (2033)","Hamburg, Freie und Hansestadt",Euro,annually,Fixed,3/6/2033
DE000BHY1489,DE000BHY1489,2 % IHS  Serie 177,Berlin Hyp AG,Euro,,Fixed,9/9/2020
DE000BHY0AZ7,DE000BHY0AZ7,var. % IHS Serie 103,Berlin Hyp AG,Euro,quarterly,Floating Rate Note,29/09/2022
XS1756305469,XS1756305469,"0,875% European Investment Bank (2021)",European Investment Bank,Britische Pfund,annually,Fixed,15/03/2021
XS1480538807,XS1480538807,"2,5% BMW Finance N.V. (2020)",BMW Finance N.V.,Australischer Dollar,,Fixed,24/08/2020
DE000HSH40H8,DE000HSH40H8,2% Hamburg Commercial Bank AG (2020),Hamburg Commercial Bank AG,Euro,annually,Fixed,13/07/2020
USU66647AA35,USU66647AA35,"3,85% Northw.Mut.Life Ins.Co.-Ins.P. (2047)",Northw.Mut.Life Ins.Co.-Ins.P.,US Dollar,annually,Fixed,30/09/2047
US064159LG95,US064159LG95,"3,125% Bank of Nova Scotia (2021)",Bank of Nova Scotia,US Dollar,annually,Fixed,20/04/2021
DE000HSH5W54,DE000HSH5W54,2% Hamburg Commercial Bank AG (2030),Hamburg Commercial Bank AG,Euro,,Fixed,23/12/2030
US05526DAV73,US05526DAV73,"2,764% B.A.T. Capital Corp. (2022)",B.A.T. Capital Corp.,US Dollar,annually,Fixed,15/08/2022
PTOTVMOE0000,PTOTVMOE0000,"VAR Portugal, Republik (2025)","Portugal, Republik",Euro,annually,Floating Rate Note,23/07/2025
XS1310941247,XS1310941247,"1,25% Dexia Crédit Local S.A. (2025)",Dexia Crédit Local S.A.,Euro,,Fixed,27/10/2025
FR0010952770,FR0010952770,"3,5% Engie S.A. (2022)",Engie S.A.,Euro,annually,Fixed,18/10/2022
XS1068092839,XS1068092839,"2,5% Mahle (2021)",Mahle,Euro,,Fixed,14/05/2021
XS2058855441,XS2058855441,"0,01% BAWAG Group AG (2029)",BAWAG Group AG,Euro,,Fixed,2/10/2029
USY7140DAB65,USY7140DAB65,"4,5% PT Pelabuhan Ind. II (Persero) (2023)",PT Pelabuhan Ind. II (Persero),US Dollar,annually,Fixed,2/5/2023
USC94143AJ01,,"6,5% Valeant Pharmaceuticals International Inc. (2022)",Valeant Pharmaceuticals International Inc.,US Dollar,annually,Fixed,15/03/2022
XS1717202490,XS1717202490,VAR VIVAT N.V.,VIVAT N.V.,US Dollar,,Floating Rate Note,-
US912828Z294,US912828Z294,"1,5% Vereinigte Staaten von Amerika (2023)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,15/01/2023
XS1423826798,XS1423826798,"1,75% REN Finance B.V. (2023)",REN Finance B.V.,Euro,,Fixed,1/6/2023
XS1520899532,XS1520899532,"1,375% AbbVie Inc. (2024)",AbbVie Inc.,Euro,,Fixed,17/05/2024
DE000LB008P6,DE000LB008P6,1% Landesbank Baden-Württemberg (2023),Landesbank Baden-Württemberg,Euro,annually,Fixed,27/01/2023
CH0130249581,CH0130249581,VAR SRLEV NV,SRLEV NV,Schweizer Franken,annually,Floating Rate Note,-
FR0013284254,FR0013284254,"1,375% Engie S.A. (2023)",Engie S.A.,Euro,,Fixed,28/02/2023
AU3CB0243459,AU3CB0243459,"3,25% National Australia Bank Ltd. (2022)",National Australia Bank Ltd.,Australischer Dollar,annually,Fixed,24/03/2022
USU01879AA07,USU01879AA07,"3,75% Alliant Energy Finance LLC (2023)",Alliant Energy Finance LLC,US Dollar,annually,Fixed,15/06/2023
DE000LB1DY06,DE000LB1DY06,"0,95% Landesbank Baden-Württemberg (2022)",Landesbank Baden-Württemberg,Euro,annually,Fixed,13/07/2022
USU69495AD88,USU69495AD88,"5,75% PQ Corp. (2025)",PQ Corp.,US Dollar,,Fixed,15/12/2025
DE000LB00MU3,DE000LB00MU3,"0,75% Landesbank Baden-Württemberg (2025)",Landesbank Baden-Württemberg,Euro,,Fixed,13/01/2025
XS1342860167,XS1342860167,"4,75% European Investment Bank (2021)",European Investment Bank,Mexikanischer Peso,,Fixed,19/01/2021
FR0013434776,FR0013434776,"0,5% BNP Paribas SA (2025)",BNP Paribas SA,Euro,annually,Fixed,15/07/2025
FR0013456423,FR0013456423,0% Pernod-Ricard SA (2023),Pernod-Ricard SA,Euro,,Fixed,24/10/2023
DE000DG4T416,DE000DG4T416,"0,921% DZ BANK AG Deutsche Zentral-Genossenschaftsbank (2025)",DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Euro,annually,Fixed,1/9/2025
AT000B049382,AT000B049382,"1,625% UniCredit Bank Austria AG (2020)",UniCredit Bank Austria AG,Euro,annually,Fixed,7/8/2020
US88033GCN88,US88033GCN88,"6,75% Tenet Healthcare Corp. (2023)",Tenet Healthcare Corp.,US Dollar,annually,Fixed,15/06/2023
XS1663601455,XS1663601455,"1,75% NRW.Bank (2020)",NRW.Bank,US Dollar,annually,Fixed,17/08/2020
XS1062852253,XS1062852253,"3,25% MDC-GMTN B.V. (2022)",MDC-GMTN B.V.,US Dollar,,Fixed,28/04/2022
XS1815116998,XS1815116998,"1,375% Koninklijke Philips N.V. (2028)",Koninklijke Philips N.V.,Euro,annually,Fixed,2/5/2028
US907818FH61,US907818FH61,"2,4% Union Pacific Corp. (2030)",Union Pacific Corp.,US Dollar,annually,Fixed,5/2/2030
XS1912495691,XS1912495691,"0,625% International Bank for Reconstruction and Development (2027)",International Bank for Reconstruction and Development,Euro,annually,Fixed,22/11/2027
US822582BY77,US822582BY77,"3,75% Shell International Finance BV (2046)",Shell International Finance BV,US Dollar,,Fixed,12/9/2046
US594918AD65,US594918AD65,"5,2% Microsoft Corp. (2039)",Microsoft Corp.,US Dollar,,Fixed,1/6/2039
US85172FAM14,US85172FAM14,"6,875% Springleaf Finance Corp. (2025)",Springleaf Finance Corp.,US Dollar,annually,Fixed,15/03/2025
US172967LP48,US172967LP48,VAR Citigroup Inc. (2028),Citigroup Inc.,US Dollar,,Floating Rate Note,24/07/2028
US91889DAF33,US91889DAF33,"5,75% Ensco PLC (2044)",Ensco PLC,US Dollar,,Fixed,1/10/2044
XS1907122656,XS1907122656,"1,5% Coca-Cola European Partn. PLC (2027)",Coca-Cola European Partn. PLC,Euro,annually,Fixed,8/11/2027
DE000A188WW1,DE000A188WW1,"0,75% BASF Finance Europe N.V. (2026)",BASF Finance Europe N.V.,Euro,,Fixed,10/11/2026
XS1555312823,XS1555312823,"2,25% Kommunalbanken AS (2022)",Kommunalbanken AS,US Dollar,,Fixed,25/01/2022
XS1411403709,XS1411403709,"0,25% AstraZeneca PLC (2021)",AstraZeneca PLC,Euro,,Fixed,12/5/2021
US023135BJ40,US023135BJ40,"4,05% Amazon.com Inc. (2047)",Amazon.com Inc.,US Dollar,annually,Fixed,22/08/2047
US65473QBG73,US65473QBG73,"3,95% NISOURCE FINANCE CORP (2048)",NISOURCE FINANCE CORP,US Dollar,,Fixed,30/03/2048
US594918AU80,US594918AU80,"3,75% Microsoft Corp. (2043)",Microsoft Corp.,US Dollar,annually,Fixed,1/5/2043
US559080AL03,US559080AL03,"4,25% Magellan Midstream Partners LP (2046)",Magellan Midstream Partners LP,US Dollar,,Fixed,15/09/2046
US045167EH27,US045167EH27,"2,75% Asian Development Bank (2023)",Asian Development Bank,US Dollar,annually,Fixed,17/03/2023
XS2028899727,XS2028899727,"0,339% Mitsubishi UFJ Financial Group Inc. (2024)",Mitsubishi UFJ Financial Group Inc.,Euro,annually,Fixed,19/07/2024
DE000LB1C025,DE000LB1C025,0% Landesbank Baden-Württemberg (2026),Landesbank Baden-Württemberg,Euro,,Fixed,27/11/2026
ES0440609313,ES0440609313,1% Caixabank SA (2023),Caixabank SA,Euro,,Fixed,8/2/2023
DE0001104750,DE0001104750,0 % Bundesschatzanweisung von 2019/21,Bundesrepublik Deutschland,Euro,annually,Fixed,12/3/2021
XS1558013360,XS1558013360,"1,375% Imperial Brands Finance PLC (2025)",Imperial Brands Finance PLC,Euro,,Fixed,27/01/2025
XS2049584084,XS2049584084,"0,375% BAWAG P.S.K. (2027)",BAWAG P.S.K.,Euro,annually,Fixed,3/9/2027
US136385AX99,US136385AX99,"3,85% CANADIAN NATL RESOURCES (2027)",CANADIAN NATL RESOURCES,US Dollar,,Fixed,1/6/2027
NZIBDDT011C8,NZIBDDT011C8,"3,375% International Bank for Reconstruction and Development (2022)",International Bank for Reconstruction and Development,Neusel&auml;ndischer Dollar,,Fixed,25/01/2022
XS1550988569,XS1550988569,"0,875% NN Group N.V. (2023)",NN Group N.V.,Euro,,Fixed,13/01/2023
DE0001143261,DE0001143261,0% Bundesrepublik Deutschland (2023),Bundesrepublik Deutschland,Euro,annually,Fixed,4/7/2023
XS2116503546,XS2116503546,"1,125% Amplifon S.p.A. (2027)",Amplifon S.p.A.,Euro,annually,Fixed,13/02/2027
US97650WAG33,US97650WAG33,"4,85% Wintrust Financial Corp. (2029)",Wintrust Financial Corp.,US Dollar,annually,Fixed,6/6/2029
US06367WJM64,US06367WJM64,"2,9% Bank of Montreal (2022)",Bank of Montreal,US Dollar,annually,Fixed,26/03/2022
US57636QAK04,US57636QAK04,"3,95% Mastercard (2048)",Mastercard,US Dollar,,Fixed,26/02/2048
XS1934785905,XS1934785905,"1,125% Kommunalbanken AS (2021)",Kommunalbanken AS,Britische Pfund,annually,Fixed,15/12/2021
US50077LAQ95,US50077LAQ95,VAR Kraft Heinz Foods Co. (2022),Kraft Heinz Foods Co.,US Dollar,,Floating Rate Note,10/8/2022
US655044AE52,US655044AE52,6% NOBLE ENERGY INC (2041),NOBLE ENERGY INC,US Dollar,annually,Fixed,1/3/2041
CA459058EY56,CA459058EY56,"1,25% International Bank for Reconstruction and Development (2021)",International Bank for Reconstruction and Development,Kanadischer Dollar,annually,Fixed,18/03/2021
XS0611398008,XS0611398008,"6,625% Barclays Bank PLC (2022)",Barclays Bank PLC,Euro,annually,Fixed,30/03/2022
BE0002595735,BE0002595735,"1,875% Group Bruxelles Lambert SA (GBL) (2025)",Group Bruxelles Lambert SA (GBL),Euro,annually,Fixed,19/06/2025
US912810QN19,US912810QN19,"4,75% Vereinigte Staaten von Amerika (2041)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,15/02/2041
US20030NCP42,,"3,3% COMCAST CORP. (2020)",COMCAST CORP.,US Dollar,annually,Fixed,1/10/2020
USP17625AE71,USP17625AE71,"11,75% Venezuela, Republik (2026)","Venezuela, Republik",US Dollar,half-yearly,Fixed,21/10/2026
XS1647644274,XS1647644274,"1,5% BMW Finance N.V. (2021)",BMW Finance N.V.,Norwegische Krone,annually,Fixed,18/01/2021
XS1566190945,XS1566190945,"2,25% Lettland, Republik (2047)","Lettland, Republik",Euro,annually,Fixed,15/02/2047
NL0000116127,NL0000116127,"0,23% ING Groep N.V.",ING Groep N.V.,Euro,annually,Fixed,-
US244199BA28,US244199BA28,"7,125% DEERE & COMPANY (2031)",DEERE & COMPANY,US Dollar,annually,Fixed,3/3/2031
FR0013358116,FR0013358116,"0,2% HSBC France S.A. (2021)",HSBC France S.A.,Euro,annually,Fixed,4/9/2021
US907818EN49,US907818EN49,4% Union Pacific Corp. (2047),Union Pacific Corp.,US Dollar,,Fixed,15/04/2047
IT0004243512,IT0004243512,"2,6% Italien, Republik (2023)","Italien, Republik",Euro,annually,Fixed,15/09/2023
AU3CB0223758,AU3CB0223758,"4,5% Scentre Management Ltd. (2021)",Scentre Management Ltd.,Australischer Dollar,annually,Fixed,8/9/2021
XS0700194003,XS0700194003,"0,5% European Bank for Reconstruction and Development (2023)",European Bank for Reconstruction and Development,Australischer Dollar,annually,Fixed,21/11/2023
XS1819477990,XS1819477990,"4,125% Federal International Fin. ,PT (2021)","Federal International Fin. ,PT",US Dollar,annually,Fixed,10/5/2021
XS1695284114,XS1695284114,"4,25% BayWa AG",BayWa AG,Euro,,Fixed,-
XS1293505639,XS1293505639,"5,125% ASR NEDERLAND NV (2045)",ASR NEDERLAND NV,Euro,,Fixed,29/09/2045
DE000A11QEU8,DE000A11QEU8,"0,50 % Landesschatzanweisung von 2015/23","Brandenburg, Land",Euro,annually,Fixed,19/01/2023
DE000BLB2WA1,DE000BLB2WA1,"0,25% Bayerische Landesbank (2022)",Bayerische Landesbank,Euro,,Fixed,3/10/2022
DE000BHY0BV4,DE000BHY0BV4,"0,01  % Hypothekenpfandbrief von 2019/25",Berlin Hyp AG,Euro,,Fixed,17/10/2025
US744320BF81,US744320BF81,"5,7% Prudential Financial Inc. (2048)",Prudential Financial Inc.,US Dollar,annually,Fixed,15/09/2048
XS0320606840,XS0320606840,0% International Bank for Reconstruction and Development (2022),International Bank for Reconstruction and Development,Mexikanischer Peso,annually,Fixed,19/09/2022
US58013MFJ80,US58013MFJ80,"2,625% McDonald's Corp. (2029)",McDonald's Corp.,US Dollar,annually,Fixed,1/9/2029
US913017DB25,US913017DB25,"3,65% United Technologies Corp. (2023)",United Technologies Corp.,US Dollar,,Fixed,16/08/2023
DK0009923138,DK0009923138,"1,75% Dänemark, Königreich (2025)","Dänemark, Königreich",D&auml;nische Krone,annually,Fixed,15/11/2025
US191216CF57,US191216CF57,"2,2% Coca-Cola Co., The (2022)","Coca-Cola Co., The",US Dollar,annually,Fixed,25/05/2022
DE000LB0WWW5,DE000LB0WWW5,"2,5% Landesbank Baden-Württemberg (2022)",Landesbank Baden-Württemberg,Euro,annually,Fixed,13/10/2022
US89153VAG41,US89153VAG41,"3,7% Total Capital International SA (2024)",Total Capital International SA,US Dollar,annually,Fixed,15/01/2024
US03027XAV29,US03027XAV29,"2,95% American Tower Corp. (2025)",American Tower Corp.,US Dollar,annually,Fixed,15/01/2025
ES0413900160,ES0413900160,"4,625% Banco Santander S.A. (2027)",Banco Santander S.A.,Euro,annually,Fixed,4/5/2027
FR0012146801,FR0012146801,"1,75% Sanofi S.A. (2026)",Sanofi S.A.,Euro,annually,Fixed,10/9/2026
XS2111951690,XS2111951690,3% Otto GmbH & Co. KG (2032),Otto GmbH & Co. KG,Euro,annually,Fixed,30/01/2032
USP78625DY68,USP78625DY68,"7,69% Petróleos Mexicanos (PEMEX) (2050)",Petróleos Mexicanos (PEMEX),US Dollar,annually,Fixed,23/01/2050
FR0013463668,FR0013463668,0% Essilor International (2027),Essilor International,Euro,annually,Fixed,27/11/2027
XS1589881272,,"0,125% BMW Finance N.V. (2020)",BMW Finance N.V.,Euro,,Fixed,3/7/2020
US66989HAP38,US66989HAP38,"1,75% Novartis Capital Corp. (2025)",Novartis Capital Corp.,US Dollar,annually,Fixed,14/02/2025
DE000HSH40N6,DE000HSH40N6,"1,5% Hamburg Commercial Bank AG (2025)",Hamburg Commercial Bank AG,Euro,annually,Fixed,30/07/2025
XS1211308231,XS1211308231,"5,5% AA Bond Co Ltd. (2022)",AA Bond Co Ltd.,Britische Pfund,,Fixed,31/07/2022
US9128284S60,US9128284S60,"2,75% Vereinigte Staaten von Amerika (2023)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,31/05/2023
DE000LB0WXJ0,DE000LB0WXJ0,2% Landesbank Baden-Württemberg (2022),Landesbank Baden-Württemberg,Euro,annually,Fixed,13/10/2022
US9128282Y56,US9128282Y56,"2,125% Vereinigte Staaten von Amerika (2024)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,30/09/2024
US292505AJ36,US292505AJ36,"3,9% ENCANA CORP (2021)",ENCANA CORP,US Dollar,annually,Fixed,15/11/2021
US30254WAN92,US30254WAN92,"2,75% FMS Wertmanagement (2023)",FMS Wertmanagement,US Dollar,annually,Fixed,6/3/2023
US172967HD63,US172967HD63,"3,875% Citigroup Inc. (2023)",Citigroup Inc.,US Dollar,annually,Fixed,25/10/2023
USH3698DBZ62,USH3698DBZ62,"7,25% credit suisse group AG",credit suisse group AG,US Dollar,,Fixed,-
XS1457608013,XS1457608013,"0,75% Citigroup Inc. (2023)",Citigroup Inc.,Euro,,Fixed,26/10/2023
DE000A2SBDE0,DE000A2SBDE0,1% JAB Holdings B.V. (2027),JAB Holdings B.V.,Euro,annually,Fixed,20/12/2027
XS2049146215,XS2049146215,"0,5% Vier Gas Transport GmbH (2034)",Vier Gas Transport GmbH,Euro,annually,Fixed,10/9/2034
XS1208436219,XS1208436219,"2,064% Alpha Trains Finance S.A. (2030)",Alpha Trains Finance S.A.,Euro,annually,Fixed,30/06/2030
US642869AM37,US642869AM37,"3,625% New Brunswick, Provinz (2028)","New Brunswick, Provinz",US Dollar,annually,Fixed,24/02/2028
US718546AW42,US718546AW42,"2,15% Phillips 66 (2030)",Phillips 66,US Dollar,,Fixed,15/12/2030
US459506AJ06,US459506AJ06,"3,4% International Flavors & Fragrances Inc. (2020)",International Flavors & Fragrances Inc.,US Dollar,,Fixed,25/09/2020
US9128283D01,US9128283D01,"2,25% Vereinigte Staaten von Amerika (2024)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,31/10/2024
XS1881488321,XS1881488321,VAR Shanghai Pud. Dev.Bk.(HK Br.) (2021),Shanghai Pud. Dev.Bk.(HK Br.),US Dollar,half-yearly,Floating Rate Note,24/09/2021
US56585AAG76,US56585AAG76,"3,625% Marathon Petroleum Corp. (2024)",Marathon Petroleum Corp.,US Dollar,annually,Fixed,15/09/2024
US852060AT99,US852060AT99,"8,75% SPRINT CAPITAL CORP (2032)",SPRINT CAPITAL CORP,US Dollar,annually,Fixed,15/03/2032
XS1968814332,XS1968814332,VAR BAWAG Group AG (2029),BAWAG Group AG,Euro,annually,Floating Rate Note,26/03/2029
XS1145750037,XS1145750037,"2,375% URENCO FINANCE NV (2024)",URENCO FINANCE NV,Euro,,Fixed,2/12/2024
FR0013245263,FR0013245263,"3,125% Spie S.A. (2024)",Spie S.A.,Euro,,Fixed,31/12/2024
XS1716945586,XS1716945586,"3,25% Eurofins Scientific S.E.",Eurofins Scientific S.E.,Euro,,Fixed,-
DE000DL19SH3,DE000DL19SH3,"0,25% Deutsche Bank AG (2024)",Deutsche Bank AG,Euro,annually,Fixed,8/3/2024
XS1880442808,XS1880442808,"3,375% Quadgas Finance PLC (2029)",Quadgas Finance PLC,Britische Pfund,,Fixed,17/09/2029
XS1882681619,XS1882681619,"0,125% Nederlandse Waterschapsbank N.V. (2023)",Nederlandse Waterschapsbank N.V.,Euro,annually,Fixed,25/09/2023
US14040HBD61,US14040HBD61,"3,5% Capital One Financial Corp. (2023)",Capital One Financial Corp.,US Dollar,annually,Fixed,15/06/2023
DE000NLB9A45,DE000NLB9A45,"0,8% Norddeutsche Landesbank (2023)",Norddeutsche Landesbank,Euro,annually,Fixed,23/05/2023
US35671DAU90,US35671DAU90,"3,55% Freeport-McMoRan Inc. (2022)",Freeport-McMoRan Inc.,US Dollar,,Fixed,1/3/2022
CA683234ZP62,CA683234ZP62,"4,6% Ontario, Provinz (2039)","Ontario, Provinz",Kanadischer Dollar,,Fixed,2/6/2039
XS0654493823,XS0654493823,"5,625% Indian Oil Corp. (2021)",Indian Oil Corp.,US Dollar,annually,Fixed,2/8/2021
FR0010161026,FR0010161026,"3,719% Credit Agricole S.A.",Credit Agricole S.A.,Euro,annually,Fixed,-
US89114QCB23,US89114QCB23,"3,25% Toronto-Dominion Bank, The (2024)","Toronto-Dominion Bank, The",US Dollar,annually,Fixed,11/3/2024
FR0013213295,FR0013213295,1% Electricite de France (2026),Electricite de France,Euro,,Fixed,13/10/2026
